#           k/h    P           
   0.181272E-01   0.912995E+04
   0.184934E-01   0.911152E+04
   0.188670E-01   0.908893E+04
   0.192481E-01   0.906212E+04
   0.196370E-01   0.903104E+04
   0.200337E-01   0.899566E+04
   0.204384E-01   0.895595E+04
   0.208513E-01   0.891190E+04
   0.212725E-01   0.886348E+04
   0.217022E-01   0.881071E+04
   0.221406E-01   0.875359E+04
   0.225879E-01   0.869214E+04
   0.230442E-01   0.862642E+04
   0.235097E-01   0.855648E+04
   0.239847E-01   0.848236E+04
   0.244692E-01   0.840415E+04
   0.249635E-01   0.832195E+04
   0.254678E-01   0.823588E+04
   0.259823E-01   0.814606E+04
   0.265072E-01   0.805263E+04
   0.270426E-01   0.795573E+04
   0.275889E-01   0.785556E+04
   0.281463E-01   0.775231E+04
   0.287149E-01   0.764620E+04
   0.292949E-01   0.753743E+04
   0.298867E-01   0.742621E+04
   0.304905E-01   0.731284E+04
   0.311064E-01   0.719760E+04
   0.317348E-01   0.708077E+04
   0.323759E-01   0.696262E+04
   0.330299E-01   0.684343E+04
   0.336972E-01   0.672354E+04
   0.343779E-01   0.660327E+04
   0.350724E-01   0.648294E+04
   0.357809E-01   0.636283E+04
   0.365038E-01   0.624326E+04
   0.372412E-01   0.612461E+04
   0.379935E-01   0.600724E+04
   0.387610E-01   0.589151E+04
   0.395440E-01   0.577771E+04
   0.403429E-01   0.566613E+04
   0.411579E-01   0.555693E+04
   0.419893E-01   0.545028E+04
   0.428375E-01   0.534630E+04
   0.437029E-01   0.524513E+04
   0.445858E-01   0.514695E+04
   0.454865E-01   0.505211E+04
   0.464053E-01   0.496093E+04
   0.473428E-01   0.487375E+04
   0.482992E-01   0.479083E+04
   0.492749E-01   0.471213E+04
   0.502703E-01   0.463727E+04
   0.512858E-01   0.456582E+04
   0.523219E-01   0.449743E+04
   0.533789E-01   0.443177E+04
   0.544572E-01   0.436866E+04
   0.555573E-01   0.430796E+04
   0.566796E-01   0.424954E+04
   0.578246E-01   0.419315E+04
   0.589927E-01   0.413826E+04
   0.601845E-01   0.408427E+04
   0.614003E-01   0.403063E+04
   0.626407E-01   0.397678E+04
   0.639061E-01   0.392214E+04
   0.651971E-01   0.386618E+04
   0.665142E-01   0.380836E+04
   0.678578E-01   0.374816E+04
   0.692287E-01   0.368507E+04
   0.706272E-01   0.361862E+04
   0.720539E-01   0.354852E+04
   0.735095E-01   0.347460E+04
   0.749945E-01   0.339674E+04
   0.765095E-01   0.331504E+04
   0.780551E-01   0.322974E+04
   0.796319E-01   0.314115E+04
   0.812406E-01   0.304981E+04
   0.828817E-01   0.295636E+04
   0.845561E-01   0.286147E+04
   0.862642E-01   0.276596E+04
   0.880068E-01   0.267060E+04
   0.897847E-01   0.257626E+04
   0.915985E-01   0.248385E+04
   0.934489E-01   0.239423E+04
   0.953367E-01   0.230835E+04
   0.972626E-01   0.222708E+04
   0.992274E-01   0.215114E+04
   0.101232E+00   0.208114E+04
   0.103277E+00   0.201758E+04
   0.105363E+00   0.196058E+04
   0.107492E+00   0.190996E+04
   0.109663E+00   0.186542E+04
   0.111879E+00   0.182620E+04
   0.114139E+00   0.179142E+04
   0.116445E+00   0.176008E+04
   0.118797E+00   0.173101E+04
   0.121197E+00   0.170307E+04
   0.123645E+00   0.167507E+04
   0.126143E+00   0.164589E+04
   0.128691E+00   0.161450E+04
   0.131291E+00   0.158000E+04
   0.133943E+00   0.154183E+04
   0.136649E+00   0.149968E+04
   0.139409E+00   0.145375E+04
   0.142226E+00   0.140453E+04
   0.145099E+00   0.135294E+04
   0.148030E+00   0.130007E+04
   0.151020E+00   0.124720E+04
   0.154071E+00   0.119561E+04
   0.157184E+00   0.114665E+04
   0.160359E+00   0.110152E+04
   0.163598E+00   0.106116E+04
   0.166903E+00   0.102602E+04
   0.170275E+00   0.996089E+03
   0.173715E+00   0.970838E+03
   0.177224E+00   0.949379E+03
   0.180804E+00   0.930517E+03
   0.184457E+00   0.913000E+03
   0.188183E+00   0.895541E+03
   0.191985E+00   0.876862E+03
   0.195863E+00   0.855934E+03
   0.199820E+00   0.832217E+03
   0.203856E+00   0.805761E+03
   0.207974E+00   0.777143E+03
   0.212176E+00   0.747368E+03
   0.216462E+00   0.717642E+03
   0.220835E+00   0.689172E+03
   0.225296E+00   0.663016E+03
   0.229847E+00   0.639882E+03
   0.234490E+00   0.619978E+03
   0.239227E+00   0.603018E+03
   0.244060E+00   0.588324E+03
   0.248990E+00   0.574941E+03
   0.254020E+00   0.561757E+03
   0.259152E+00   0.547734E+03
   0.264387E+00   0.532257E+03
   0.269728E+00   0.515337E+03
   0.275177E+00   0.497472E+03
   0.280736E+00   0.479372E+03
   0.286407E+00   0.461836E+03
   0.292193E+00   0.445591E+03
   0.298096E+00   0.431140E+03
   0.304118E+00   0.418488E+03
   0.310261E+00   0.407151E+03
   0.316529E+00   0.396479E+03
   0.322923E+00   0.385887E+03
   0.329447E+00   0.374827E+03
   0.336102E+00   0.363143E+03
   0.342892E+00   0.351161E+03
   0.349819E+00   0.339304E+03
   0.356885E+00   0.328051E+03
   0.364095E+00   0.317704E+03
   0.371450E+00   0.308299E+03
   0.378954E+00   0.299598E+03
   0.386609E+00   0.291219E+03
   0.394419E+00   0.282863E+03
   0.402387E+00   0.274370E+03
   0.410516E+00   0.265827E+03
   0.418809E+00   0.257525E+03
   0.427269E+00   0.249641E+03
   0.435901E+00   0.242313E+03
   0.444706E+00   0.235398E+03
   0.453690E+00   0.228756E+03
   0.462855E+00   0.222241E+03
   0.472206E+00   0.215782E+03
   0.481745E+00   0.209439E+03
   0.491477E+00   0.203351E+03
   0.501405E+00   0.197554E+03
   0.511534E+00   0.192043E+03
   0.521868E+00   0.186753E+03
   0.532411E+00   0.181596E+03
   0.543166E+00   0.176561E+03
   0.554139E+00   0.171665E+03
   0.565333E+00   0.166974E+03
   0.576753E+00   0.162472E+03
   0.588404E+00   0.158144E+03
   0.600291E+00   0.153946E+03
   0.612418E+00   0.149873E+03
   0.624789E+00   0.145926E+03
   0.637411E+00   0.142129E+03
   0.650288E+00   0.138464E+03
   0.663424E+00   0.134922E+03
   0.676826E+00   0.131498E+03
   0.690499E+00   0.128185E+03
   0.704448E+00   0.124979E+03
   0.718679E+00   0.121876E+03
   0.733197E+00   0.118874E+03
   0.748009E+00   0.115968E+03
   0.763119E+00   0.113154E+03
   0.778536E+00   0.110431E+03
   0.794263E+00   0.107793E+03
   0.810308E+00   0.105237E+03
   0.826677E+00   0.102760E+03
   0.843378E+00   0.100357E+03
   0.860415E+00   0.980253E+02
   0.877797E+00   0.957623E+02
   0.895529E+00   0.935648E+02
   0.913620E+00   0.914302E+02
   0.932076E+00   0.893557E+02
   0.950906E+00   0.873389E+02
   0.970115E+00   0.853774E+02
   0.989713E+00   0.834690E+02
   0.100971E+01   0.816115E+02
   0.103010E+01   0.798027E+02
   0.105091E+01   0.780406E+02
   0.107214E+01   0.763229E+02
   0.109380E+01   0.746479E+02
   0.111590E+01   0.730134E+02
   0.113844E+01   0.714179E+02
   0.116144E+01   0.698596E+02
   0.118490E+01   0.683369E+02
   0.120884E+01   0.668482E+02
   0.123326E+01   0.653923E+02
   0.125817E+01   0.639677E+02
   0.128359E+01   0.625731E+02
   0.130952E+01   0.612073E+02
   0.133597E+01   0.598692E+02
   0.136296E+01   0.585576E+02
   0.139049E+01   0.572717E+02
   0.141858E+01   0.560104E+02
   0.144724E+01   0.547728E+02
   0.147648E+01   0.535579E+02
   0.150630E+01   0.523652E+02
   0.153673E+01   0.511936E+02
   0.156778E+01   0.500427E+02
   0.159945E+01   0.489116E+02
   0.163176E+01   0.478000E+02
   0.166472E+01   0.467073E+02
   0.169835E+01   0.456329E+02
   0.173266E+01   0.445766E+02
   0.176766E+01   0.435378E+02
   0.180337E+01   0.425161E+02
   0.183980E+01   0.415111E+02
   0.187697E+01   0.405225E+02
   0.191489E+01   0.395500E+02
   0.195357E+01   0.385933E+02
   0.199304E+01   0.376522E+02
   0.203330E+01   0.367266E+02
   0.207437E+01   0.358162E+02
   0.211628E+01   0.349209E+02
   0.215903E+01   0.340406E+02
   0.220265E+01   0.331752E+02
   0.224714E+01   0.323245E+02
   0.229254E+01   0.314883E+02
   0.233885E+01   0.306666E+02
   0.238610E+01   0.298593E+02
   0.243430E+01   0.290661E+02
   0.248348E+01   0.282872E+02
   0.253365E+01   0.275225E+02
   0.258483E+01   0.267720E+02
   0.263705E+01   0.260356E+02
   0.269032E+01   0.253132E+02
   0.274466E+01   0.246048E+02
   0.280011E+01   0.239103E+02
   0.285668E+01   0.232296E+02
   0.291439E+01   0.225627E+02
   0.297326E+01   0.219095E+02
   0.303332E+01   0.212699E+02
   0.309460E+01   0.206438E+02
   0.315712E+01   0.200313E+02
   0.322090E+01   0.194321E+02
   0.328596E+01   0.188463E+02
   0.335234E+01   0.182738E+02
   0.342006E+01   0.177144E+02
   0.348916E+01   0.171680E+02
   0.355964E+01   0.166345E+02
   0.363155E+01   0.161137E+02
   0.370491E+01   0.156056E+02
   0.377976E+01   0.151100E+02
   0.385611E+01   0.146268E+02
   0.393401E+01   0.141559E+02
   0.401348E+01   0.136970E+02
   0.409456E+01   0.132501E+02
   0.417727E+01   0.128150E+02
   0.426166E+01   0.123915E+02
   0.434775E+01   0.119795E+02
   0.443558E+01   0.115787E+02
   0.452519E+01   0.111891E+02
   0.461660E+01   0.108103E+02
   0.470987E+01   0.104422E+02
   0.480501E+01   0.100847E+02
   0.490208E+01   0.973752E+01
   0.500111E+01   0.940046E+01
   0.510214E+01   0.907332E+01
   0.520521E+01   0.875592E+01
   0.531036E+01   0.844805E+01
   0.541763E+01   0.814950E+01
   0.552708E+01   0.786009E+01
   0.563873E+01   0.757960E+01
   0.575264E+01   0.730784E+01
   0.586885E+01   0.704461E+01
   0.598741E+01   0.678972E+01
   0.610836E+01   0.654297E+01
   0.623176E+01   0.630416E+01
   0.635765E+01   0.607311E+01
   0.648609E+01   0.584961E+01
   0.661711E+01   0.563348E+01
   0.675079E+01   0.542453E+01
   0.688716E+01   0.522256E+01
   0.702629E+01   0.502739E+01
   0.716823E+01   0.483881E+01
   0.731304E+01   0.465661E+01
   0.746077E+01   0.448060E+01
   0.761149E+01   0.431059E+01
   0.776525E+01   0.414638E+01
   0.792212E+01   0.398782E+01
   0.808217E+01   0.383470E+01
   0.824543E+01   0.368688E+01
   0.841200E+01   0.354418E+01
   0.858193E+01   0.340644E+01
   0.875530E+01   0.327355E+01
   0.893217E+01   0.314540E+01
   0.911261E+01   0.302188E+01
   0.929670E+01   0.290290E+01
   0.948451E+01   0.278834E+01
   0.967610E+01   0.267809E+01
   0.987158E+01   0.257204E+01
   0.100710E+02   0.247007E+01
   0.102744E+02   0.237206E+01
   0.104820E+02   0.227791E+01
