#    L    TT             EE             TE             PP             TP          
   187   0.519114E+04   0.721335E+00  -0.290279E+02   0.292864E+07   0.265344E+04
   188   0.520991E+04   0.712668E+00  -0.281093E+02   0.291337E+07   0.263171E+04
   189   0.522818E+04   0.704386E+00  -0.271656E+02   0.289823E+07   0.261022E+04
   190   0.524595E+04   0.696520E+00  -0.261971E+02   0.288321E+07   0.258896E+04
   191   0.526322E+04   0.689104E+00  -0.252042E+02   0.286830E+07   0.256794E+04
   192   0.527996E+04   0.682169E+00  -0.241867E+02   0.285351E+07   0.254713E+04
   193   0.529618E+04   0.675749E+00  -0.231452E+02   0.283884E+07   0.252652E+04
   194   0.531188E+04   0.669877E+00  -0.220799E+02   0.282429E+07   0.250612E+04
   195   0.532704E+04   0.664589E+00  -0.209912E+02   0.280985E+07   0.248591E+04
   196   0.534167E+04   0.659920E+00  -0.198794E+02   0.279552E+07   0.246588E+04
   197   0.535577E+04   0.655904E+00  -0.187449E+02   0.278130E+07   0.244603E+04
   198   0.536934E+04   0.652577E+00  -0.175879E+02   0.276720E+07   0.242634E+04
   199   0.538235E+04   0.649973E+00  -0.164089E+02   0.275320E+07   0.240680E+04
   200   0.539483E+04   0.648126E+00  -0.152083E+02   0.273931E+07   0.238742E+04
   201   0.540675E+04   0.647075E+00  -0.139864E+02   0.272553E+07   0.236817E+04
   202   0.541812E+04   0.646852E+00  -0.127436E+02   0.271185E+07   0.234906E+04
   203   0.542890E+04   0.647494E+00  -0.114803E+02   0.269828E+07   0.233009E+04
   204   0.543911E+04   0.649037E+00  -0.101969E+02   0.268481E+07   0.231126E+04
   205   0.544871E+04   0.651517E+00  -0.889380E+01   0.267145E+07   0.229256E+04
   206   0.545772E+04   0.654969E+00  -0.757138E+01   0.265818E+07   0.227400E+04
   207   0.546611E+04   0.659428E+00  -0.623000E+01   0.264502E+07   0.225557E+04
   208   0.547389E+04   0.664932E+00  -0.487022E+01   0.263196E+07   0.223727E+04
   209   0.548107E+04   0.671514E+00  -0.349256E+01   0.261900E+07   0.221911E+04
   210   0.548765E+04   0.679211E+00  -0.209756E+01   0.260614E+07   0.220108E+04
   211   0.549363E+04   0.688059E+00  -0.685727E+00   0.259338E+07   0.218318E+04
   212   0.549903E+04   0.698093E+00   0.742388E+00   0.258071E+07   0.216542E+04
   213   0.550385E+04   0.709349E+00   0.218626E+01   0.256814E+07   0.214778E+04
   214   0.550808E+04   0.721864E+00   0.364536E+01   0.255567E+07   0.213027E+04
   215   0.551175E+04   0.735665E+00   0.511911E+01   0.254329E+07   0.211289E+04
