#    L    TT             EE             TE             PP             TP          
  1519   0.616354E+03   0.132062E+02   0.102785E+02   0.119640E+06   0.235342E+02
  1520   0.612832E+03   0.133315E+02   0.105029E+02   0.119474E+06   0.233629E+02
  1521   0.609307E+03   0.134578E+02   0.107153E+02   0.119308E+06   0.231914E+02
  1522   0.605778E+03   0.135851E+02   0.109159E+02   0.119143E+06   0.230197E+02
  1523   0.602246E+03   0.137131E+02   0.111043E+02   0.118978E+06   0.228478E+02
  1524   0.598713E+03   0.138420E+02   0.112806E+02   0.118813E+06   0.226757E+02
  1525   0.595179E+03   0.139715E+02   0.114450E+02   0.118648E+06   0.225035E+02
  1526   0.591647E+03   0.141017E+02   0.115972E+02   0.118484E+06   0.223312E+02
  1527   0.588115E+03   0.142326E+02   0.117375E+02   0.118319E+06   0.221588E+02
  1528   0.584585E+03   0.143639E+02   0.118658E+02   0.118156E+06   0.219862E+02
  1529   0.581060E+03   0.144958E+02   0.119821E+02   0.117992E+06   0.218137E+02
  1530   0.577537E+03   0.146281E+02   0.120864E+02   0.117829E+06   0.216410E+02
  1531   0.574020E+03   0.147607E+02   0.121787E+02   0.117666E+06   0.214683E+02
  1532   0.570509E+03   0.148937E+02   0.122590E+02   0.117504E+06   0.212957E+02
  1533   0.567004E+03   0.150268E+02   0.123274E+02   0.117341E+06   0.211230E+02
  1534   0.563506E+03   0.151601E+02   0.123840E+02   0.117179E+06   0.209503E+02
  1535   0.560017E+03   0.152935E+02   0.124287E+02   0.117017E+06   0.207777E+02
  1536   0.556537E+03   0.154270E+02   0.124615E+02   0.116856E+06   0.206052E+02
  1537   0.553065E+03   0.155603E+02   0.124825E+02   0.116695E+06   0.204328E+02
  1538   0.549605E+03   0.156937E+02   0.124918E+02   0.116534E+06   0.202604E+02
  1539   0.546157E+03   0.158268E+02   0.124894E+02   0.116373E+06   0.200882E+02
  1540   0.542721E+03   0.159598E+02   0.124755E+02   0.116213E+06   0.199161E+02
  1541   0.539297E+03   0.160925E+02   0.124501E+02   0.116053E+06   0.197442E+02
  1542   0.535889E+03   0.162249E+02   0.124132E+02   0.115893E+06   0.195725E+02
  1543   0.532495E+03   0.163569E+02   0.123650E+02   0.115734E+06   0.194010E+02
  1544   0.529117E+03   0.164885E+02   0.123055E+02   0.115574E+06   0.192297E+02
  1545   0.525755E+03   0.166196E+02   0.122349E+02   0.115415E+06   0.190586E+02
  1546   0.522411E+03   0.167500E+02   0.121531E+02   0.115257E+06   0.188878E+02
  1547   0.519086E+03   0.168799E+02   0.120604E+02   0.115098E+06   0.187173E+02
  1548   0.515778E+03   0.170092E+02   0.119567E+02   0.114940E+06   0.185470E+02
  1549   0.512491E+03   0.171376E+02   0.118423E+02   0.114782E+06   0.183771E+02
  1550   0.509223E+03   0.172653E+02   0.117171E+02   0.114625E+06   0.182076E+02
  1551   0.505976E+03   0.173921E+02   0.115813E+02   0.114468E+06   0.180383E+02
  1552   0.502750E+03   0.175180E+02   0.114350E+02   0.114311E+06   0.178695E+02
  1553   0.499547E+03   0.176429E+02   0.112783E+02   0.114154E+06   0.177010E+02
  1554   0.496366E+03   0.177669E+02   0.111113E+02   0.113998E+06   0.175329E+02
  1555   0.493209E+03   0.178897E+02   0.109342E+02   0.113841E+06   0.173652E+02
  1556   0.490076E+03   0.180114E+02   0.107471E+02   0.113686E+06   0.171978E+02
  1557   0.486969E+03   0.181320E+02   0.105501E+02   0.113530E+06   0.170309E+02
  1558   0.483887E+03   0.182512E+02   0.103433E+02   0.113375E+06   0.168644E+02
  1559   0.480831E+03   0.183693E+02   0.101269E+02   0.113220E+06   0.166983E+02
  1560   0.477802E+03   0.184859E+02   0.990100E+01   0.113065E+06   0.165326E+02
  1561   0.474801E+03   0.186012E+02   0.966586E+01   0.112910E+06   0.163673E+02
  1562   0.471828E+03   0.187151E+02   0.942149E+01   0.112756E+06   0.162025E+02
  1563   0.468883E+03   0.188275E+02   0.916811E+01   0.112602E+06   0.160381E+02
  1564   0.465968E+03   0.189384E+02   0.890585E+01   0.112448E+06   0.158742E+02
  1565   0.463083E+03   0.190477E+02   0.863493E+01   0.112295E+06   0.157107E+02
  1566   0.460228E+03   0.191553E+02   0.835541E+01   0.112142E+06   0.155477E+02
  1567   0.457404E+03   0.192613E+02   0.806751E+01   0.111989E+06   0.153852E+02
  1568   0.454612E+03   0.193656E+02   0.777128E+01   0.111836E+06   0.152231E+02
  1569   0.451851E+03   0.194681E+02   0.746701E+01   0.111684E+06   0.150615E+02
  1570   0.449123E+03   0.195689E+02   0.715485E+01   0.111532E+06   0.149004E+02
  1571   0.446428E+03   0.196676E+02   0.683488E+01   0.111380E+06   0.147398E+02
  1572   0.443766E+03   0.197646E+02   0.650730E+01   0.111228E+06   0.145798E+02
  1573   0.441138E+03   0.198596E+02   0.617230E+01   0.111077E+06   0.144202E+02
  1574   0.438544E+03   0.199526E+02   0.583008E+01   0.110926E+06   0.142611E+02
  1575   0.435985E+03   0.200436E+02   0.548082E+01   0.110775E+06   0.141026E+02
  1576   0.433460E+03   0.201326E+02   0.512474E+01   0.110624E+06   0.139446E+02
  1577   0.430972E+03   0.202195E+02   0.476201E+01   0.110474E+06   0.137872E+02
  1578   0.428519E+03   0.203044E+02   0.439285E+01   0.110324E+06   0.136303E+02
  1579   0.426103E+03   0.203871E+02   0.401744E+01   0.110174E+06   0.134740E+02
  1580   0.423724E+03   0.204676E+02   0.363597E+01   0.110025E+06   0.133182E+02
  1581   0.421382E+03   0.205459E+02   0.324862E+01   0.109876E+06   0.131630E+02
  1582   0.419077E+03   0.206221E+02   0.285557E+01   0.109727E+06   0.130083E+02
  1583   0.416810E+03   0.206959E+02   0.245700E+01   0.109578E+06   0.128543E+02
  1584   0.414580E+03   0.207675E+02   0.205310E+01   0.109430E+06   0.127009E+02
  1585   0.412388E+03   0.208367E+02   0.164405E+01   0.109281E+06   0.125480E+02
  1586   0.410235E+03   0.209035E+02   0.123002E+01   0.109134E+06   0.123958E+02
  1587   0.408120E+03   0.209680E+02   0.811221E+00   0.108986E+06   0.122441E+02
  1588   0.406043E+03   0.210300E+02   0.387850E+00   0.108838E+06   0.120931E+02
  1589   0.404005E+03   0.210896E+02  -0.399036E-01   0.108691E+06   0.119427E+02
  1590   0.402006E+03   0.211467E+02  -0.471838E+00   0.108544E+06   0.117930E+02
  1591   0.400046E+03   0.212014E+02  -0.907760E+00   0.108398E+06   0.116439E+02
  1592   0.398126E+03   0.212535E+02  -0.134746E+01   0.108251E+06   0.114954E+02
  1593   0.396244E+03   0.213031E+02  -0.179076E+01   0.108105E+06   0.113476E+02
  1594   0.394403E+03   0.213501E+02  -0.223744E+01   0.107959E+06   0.112005E+02
  1595   0.392601E+03   0.213946E+02  -0.268731E+01   0.107814E+06   0.110540E+02
  1596   0.390837E+03   0.214365E+02  -0.314016E+01   0.107668E+06   0.109082E+02
  1597   0.389115E+03   0.214757E+02  -0.359579E+01   0.107523E+06   0.107631E+02
  1598   0.387431E+03   0.215124E+02  -0.405401E+01   0.107378E+06   0.106187E+02
  1599   0.385787E+03   0.215465E+02  -0.451459E+01   0.107234E+06   0.104750E+02
  1600   0.384184E+03   0.215778E+02  -0.497736E+01   0.107089E+06   0.103320E+02
  1601   0.382619E+03   0.216066E+02  -0.544210E+01   0.106945E+06   0.101897E+02
  1602   0.381095E+03   0.216327E+02  -0.590864E+01   0.106801E+06   0.100482E+02
  1603   0.379610E+03   0.216560E+02  -0.637677E+01   0.106658E+06   0.990737E+01
  1604   0.378164E+03   0.216767E+02  -0.684630E+01   0.106514E+06   0.976738E+01
  1605   0.376758E+03   0.216946E+02  -0.731705E+01   0.106371E+06   0.962820E+01
  1606   0.375392E+03   0.217098E+02  -0.778880E+01   0.106228E+06   0.948987E+01
  1607   0.374065E+03   0.217223E+02  -0.826131E+01   0.106085E+06   0.935241E+01
  1608   0.372777E+03   0.217320E+02  -0.873449E+01   0.105943E+06   0.921584E+01
  1609   0.371528E+03   0.217389E+02  -0.920800E+01   0.105801E+06   0.908019E+01
  1610   0.370318E+03   0.217431E+02  -0.968176E+01   0.105659E+06   0.894550E+01
  1611   0.369148E+03   0.217447E+02  -0.101554E+02   0.105517E+06   0.881177E+01
  1612   0.368016E+03   0.217435E+02  -0.106289E+02   0.105376E+06   0.867905E+01
  1613   0.366923E+03   0.217396E+02  -0.111019E+02   0.105235E+06   0.854735E+01
  1614   0.365868E+03   0.217331E+02  -0.115742E+02   0.105094E+06   0.841670E+01
  1615   0.364852E+03   0.217239E+02  -0.120457E+02   0.104953E+06   0.828713E+01
  1616   0.363875E+03   0.217120E+02  -0.125162E+02   0.104812E+06   0.815866E+01
  1617   0.362935E+03   0.216974E+02  -0.129854E+02   0.104672E+06   0.803133E+01
  1618   0.362033E+03   0.216802E+02  -0.134533E+02   0.104532E+06   0.790515E+01
  1619   0.361168E+03   0.216602E+02  -0.139196E+02   0.104393E+06   0.778015E+01
  1620   0.360340E+03   0.216377E+02  -0.143840E+02   0.104253E+06   0.765636E+01
  1621   0.359550E+03   0.216123E+02  -0.148467E+02   0.104114E+06   0.753380E+01
  1622   0.358796E+03   0.215844E+02  -0.153071E+02   0.103975E+06   0.741251E+01
  1623   0.358078E+03   0.215539E+02  -0.157652E+02   0.103836E+06   0.729250E+01
  1624   0.357396E+03   0.215207E+02  -0.162209E+02   0.103697E+06   0.717380E+01
  1625   0.356750E+03   0.214849E+02  -0.166738E+02   0.103559E+06   0.705644E+01
  1626   0.356139E+03   0.214466E+02  -0.171240E+02   0.103421E+06   0.694044E+01
  1627   0.355563E+03   0.214056E+02  -0.175711E+02   0.103283E+06   0.682584E+01
  1628   0.355022E+03   0.213621E+02  -0.180149E+02   0.103146E+06   0.671265E+01
  1629   0.354516E+03   0.213162E+02  -0.184554E+02   0.103008E+06   0.660090E+01
  1630   0.354043E+03   0.212676E+02  -0.188924E+02   0.102871E+06   0.649062E+01
  1631   0.353604E+03   0.212165E+02  -0.193257E+02   0.102734E+06   0.638183E+01
  1632   0.353198E+03   0.211630E+02  -0.197550E+02   0.102598E+06   0.627457E+01
  1633   0.352824E+03   0.211070E+02  -0.201804E+02   0.102461E+06   0.616885E+01
  1634   0.352483E+03   0.210486E+02  -0.206016E+02   0.102325E+06   0.606471E+01
  1635   0.352174E+03   0.209876E+02  -0.210186E+02   0.102189E+06   0.596216E+01
  1636   0.351896E+03   0.209243E+02  -0.214309E+02   0.102053E+06   0.586124E+01
  1637   0.351649E+03   0.208586E+02  -0.218388E+02   0.101918E+06   0.576196E+01
  1638   0.351432E+03   0.207905E+02  -0.222417E+02   0.101782E+06   0.566437E+01
  1639   0.351246E+03   0.207201E+02  -0.226398E+02   0.101647E+06   0.556847E+01
  1640   0.351089E+03   0.206474E+02  -0.230329E+02   0.101513E+06   0.547431E+01
  1641   0.350961E+03   0.205725E+02  -0.234207E+02   0.101378E+06   0.538190E+01
  1642   0.350862E+03   0.204953E+02  -0.238032E+02   0.101244E+06   0.529127E+01
  1643   0.350790E+03   0.204160E+02  -0.241802E+02   0.101110E+06   0.520245E+01
  1644   0.350747E+03   0.203346E+02  -0.245517E+02   0.100976E+06   0.511545E+01
  1645   0.350731E+03   0.202510E+02  -0.249174E+02   0.100842E+06   0.503032E+01
  1646   0.350741E+03   0.201653E+02  -0.252773E+02   0.100709E+06   0.494708E+01
  1647   0.350777E+03   0.200776E+02  -0.256312E+02   0.100575E+06   0.486574E+01
  1648   0.350838E+03   0.199877E+02  -0.259791E+02   0.100442E+06   0.478634E+01
  1649   0.350925E+03   0.198959E+02  -0.263207E+02   0.100310E+06   0.470890E+01
  1650   0.351036E+03   0.198020E+02  -0.266561E+02   0.100177E+06   0.463346E+01
  1651   0.351170E+03   0.197062E+02  -0.269850E+02   0.100045E+06   0.456001E+01
  1652   0.351328E+03   0.196085E+02  -0.273074E+02   0.999128E+05   0.448855E+01
  1653   0.351508E+03   0.195090E+02  -0.276233E+02   0.997809E+05   0.441903E+01
  1654   0.351711E+03   0.194075E+02  -0.279323E+02   0.996493E+05   0.435142E+01
  1655   0.351935E+03   0.193043E+02  -0.282346E+02   0.995179E+05   0.428569E+01
  1656   0.352179E+03   0.191994E+02  -0.285300E+02   0.993867E+05   0.422180E+01
  1657   0.352444E+03   0.190927E+02  -0.288184E+02   0.992558E+05   0.415972E+01
  1658   0.352729E+03   0.189843E+02  -0.290997E+02   0.991250E+05   0.409940E+01
  1659   0.353034E+03   0.188743E+02  -0.293738E+02   0.989945E+05   0.404083E+01
  1660   0.353356E+03   0.187628E+02  -0.296407E+02   0.988642E+05   0.398395E+01
  1661   0.353697E+03   0.186496E+02  -0.299003E+02   0.987341E+05   0.392874E+01
  1662   0.354055E+03   0.185350E+02  -0.301524E+02   0.986043E+05   0.387516E+01
  1663   0.354430E+03   0.184189E+02  -0.303971E+02   0.984746E+05   0.382318E+01
  1664   0.354821E+03   0.183014E+02  -0.306343E+02   0.983452E+05   0.377277E+01
  1665   0.355227E+03   0.181826E+02  -0.308638E+02   0.982160E+05   0.372388E+01
  1666   0.355649E+03   0.180623E+02  -0.310857E+02   0.980870E+05   0.367648E+01
  1667   0.356084E+03   0.179408E+02  -0.312999E+02   0.979583E+05   0.363054E+01
  1668   0.356534E+03   0.178180E+02  -0.315062E+02   0.978297E+05   0.358602E+01
  1669   0.356996E+03   0.176939E+02  -0.317047E+02   0.977014E+05   0.354289E+01
  1670   0.357471E+03   0.175687E+02  -0.318953E+02   0.975733E+05   0.350112E+01
  1671   0.357958E+03   0.174424E+02  -0.320779E+02   0.974454E+05   0.346066E+01
  1672   0.358456E+03   0.173149E+02  -0.322525E+02   0.973177E+05   0.342149E+01
  1673   0.358964E+03   0.171865E+02  -0.324192E+02   0.971903E+05   0.338356E+01
  1674   0.359482E+03   0.170570E+02  -0.325779E+02   0.970630E+05   0.334685E+01
  1675   0.360010E+03   0.169267E+02  -0.327285E+02   0.969360E+05   0.331132E+01
  1676   0.360546E+03   0.167955E+02  -0.328711E+02   0.968092E+05   0.327694E+01
  1677   0.361091E+03   0.166636E+02  -0.330056E+02   0.966826E+05   0.324366E+01
  1678   0.361644E+03   0.165308E+02  -0.331320E+02   0.965562E+05   0.321146E+01
  1679   0.362203E+03   0.163973E+02  -0.332503E+02   0.964300E+05   0.318030E+01
  1680   0.362769E+03   0.162633E+02  -0.333605E+02   0.963040E+05   0.315014E+01
  1681   0.363341E+03   0.161285E+02  -0.334625E+02   0.961783E+05   0.312095E+01
  1682   0.363917E+03   0.159932E+02  -0.335565E+02   0.960527E+05   0.309270E+01
  1683   0.364498E+03   0.158573E+02  -0.336422E+02   0.959274E+05   0.306535E+01
  1684   0.365083E+03   0.157209E+02  -0.337198E+02   0.958023E+05   0.303887E+01
  1685   0.365672E+03   0.155840E+02  -0.337892E+02   0.956773E+05   0.301322E+01
  1686   0.366263E+03   0.154468E+02  -0.338504E+02   0.955526E+05   0.298836E+01
  1687   0.366856E+03   0.153091E+02  -0.339036E+02   0.954281E+05   0.296427E+01
  1688   0.367451E+03   0.151712E+02  -0.339486E+02   0.953039E+05   0.294090E+01
  1689   0.368047E+03   0.150329E+02  -0.339856E+02   0.951798E+05   0.291822E+01
  1690   0.368643E+03   0.148946E+02  -0.340145E+02   0.950559E+05   0.289620E+01
  1691   0.369238E+03   0.147560E+02  -0.340354E+02   0.949323E+05   0.287481E+01
  1692   0.369834E+03   0.146173E+02  -0.340482E+02   0.948088E+05   0.285400E+01
  1693   0.370427E+03   0.144784E+02  -0.340531E+02   0.946856E+05   0.283374E+01
  1694   0.371019E+03   0.143396E+02  -0.340499E+02   0.945625E+05   0.281400E+01
  1695   0.371608E+03   0.142008E+02  -0.340389E+02   0.944397E+05   0.279474E+01
  1696   0.372194E+03   0.140620E+02  -0.340199E+02   0.943170E+05   0.277594E+01
  1697   0.372776E+03   0.139233E+02  -0.339931E+02   0.941946E+05   0.275754E+01
  1698   0.373354E+03   0.137847E+02  -0.339584E+02   0.940724E+05   0.273952E+01
  1699   0.373927E+03   0.136462E+02  -0.339159E+02   0.939504E+05   0.272185E+01
  1700   0.374494E+03   0.135080E+02  -0.338657E+02   0.938286E+05   0.270449E+01
  1701   0.375056E+03   0.133700E+02  -0.338079E+02   0.937069E+05   0.268741E+01
  1702   0.375612E+03   0.132324E+02  -0.337425E+02   0.935855E+05   0.267062E+01
  1703   0.376161E+03   0.130952E+02  -0.336696E+02   0.934643E+05   0.265414E+01
  1704   0.376702E+03   0.129583E+02  -0.335893E+02   0.933433E+05   0.263798E+01
  1705   0.377236E+03   0.128220E+02  -0.335017E+02   0.932225E+05   0.262217E+01
  1706   0.377762E+03   0.126861E+02  -0.334068E+02   0.931019E+05   0.260672E+01
  1707   0.378278E+03   0.125508E+02  -0.333046E+02   0.929815E+05   0.259166E+01
  1708   0.378786E+03   0.124161E+02  -0.331954E+02   0.928613E+05   0.257698E+01
  1709   0.379284E+03   0.122820E+02  -0.330790E+02   0.927413E+05   0.256272E+01
  1710   0.379772E+03   0.121487E+02  -0.329556E+02   0.926215E+05   0.254889E+01
  1711   0.380249E+03   0.120160E+02  -0.328254E+02   0.925019E+05   0.253552E+01
  1712   0.380715E+03   0.118841E+02  -0.326883E+02   0.923825E+05   0.252260E+01
  1713   0.381168E+03   0.117529E+02  -0.325445E+02   0.922633E+05   0.251017E+01
  1714   0.381611E+03   0.116226E+02  -0.323939E+02   0.921443E+05   0.249825E+01
  1715   0.382040E+03   0.114932E+02  -0.322369E+02   0.920255E+05   0.248684E+01
  1716   0.382458E+03   0.113647E+02  -0.320734E+02   0.919069E+05   0.247596E+01
  1717   0.382861E+03   0.112371E+02  -0.319034E+02   0.917885E+05   0.246565E+01
  1718   0.383251E+03   0.111106E+02  -0.317273E+02   0.916702E+05   0.245590E+01
  1719   0.383628E+03   0.109850E+02  -0.315449E+02   0.915522E+05   0.244674E+01
  1720   0.383989E+03   0.108605E+02  -0.313565E+02   0.914344E+05   0.243819E+01
  1721   0.384336E+03   0.107371E+02  -0.311622E+02   0.913167E+05   0.243026E+01
  1722   0.384668E+03   0.106149E+02  -0.309620E+02   0.911993E+05   0.242297E+01
  1723   0.384984E+03   0.104939E+02  -0.307561E+02   0.910821E+05   0.241634E+01
  1724   0.385286E+03   0.103741E+02  -0.305445E+02   0.909650E+05   0.241038E+01
  1725   0.385570E+03   0.102555E+02  -0.303275E+02   0.908482E+05   0.240512E+01
  1726   0.385838E+03   0.101381E+02  -0.301051E+02   0.907315E+05   0.240058E+01
  1727   0.386090E+03   0.100222E+02  -0.298773E+02   0.906150E+05   0.239675E+01
  1728   0.386324E+03   0.990749E+01  -0.296445E+02   0.904987E+05   0.239368E+01
  1729   0.386541E+03   0.979425E+01  -0.294066E+02   0.903826E+05   0.239137E+01
  1730   0.386740E+03   0.968241E+01  -0.291636E+02   0.902668E+05   0.238984E+01
  1731   0.386921E+03   0.957196E+01  -0.289159E+02   0.901510E+05   0.238911E+01
  1732   0.387084E+03   0.946297E+01  -0.286635E+02   0.900355E+05   0.238919E+01
  1733   0.387228E+03   0.935551E+01  -0.284064E+02   0.899202E+05   0.239011E+01
  1734   0.387353E+03   0.924952E+01  -0.281448E+02   0.898051E+05   0.239188E+01
  1735   0.387458E+03   0.914507E+01  -0.278789E+02   0.896901E+05   0.239451E+01
  1736   0.387545E+03   0.904222E+01  -0.276089E+02   0.895754E+05   0.239803E+01
  1737   0.387613E+03   0.894098E+01  -0.273347E+02   0.894608E+05   0.240246E+01
  1738   0.387660E+03   0.884135E+01  -0.270567E+02   0.893464E+05   0.240781E+01
  1739   0.387688E+03   0.874340E+01  -0.267749E+02   0.892323E+05   0.241409E+01
  1740   0.387697E+03   0.864713E+01  -0.264895E+02   0.891183E+05   0.242133E+01
  1741   0.387686E+03   0.855254E+01  -0.262005E+02   0.890044E+05   0.242954E+01
  1742   0.387654E+03   0.845970E+01  -0.259083E+02   0.888908E+05   0.243875E+01
  1743   0.387602E+03   0.836854E+01  -0.256127E+02   0.887774E+05   0.244896E+01
  1744   0.387529E+03   0.827921E+01  -0.253140E+02   0.886641E+05   0.246020E+01
  1745   0.387436E+03   0.819163E+01  -0.250124E+02   0.885510E+05   0.247248E+01
  1746   0.387322E+03   0.810587E+01  -0.247079E+02   0.884382E+05   0.248582E+01
  1747   0.387186E+03   0.802186E+01  -0.244006E+02   0.883255E+05   0.250024E+01
  1748   0.387031E+03   0.793974E+01  -0.240908E+02   0.882129E+05   0.251575E+01
  1749   0.386852E+03   0.785945E+01  -0.237784E+02   0.881006E+05   0.253238E+01
  1750   0.386653E+03   0.778098E+01  -0.234638E+02   0.879885E+05   0.255014E+01
  1751   0.386433E+03   0.770440E+01  -0.231469E+02   0.878765E+05   0.256904E+01
  1752   0.386191E+03   0.762972E+01  -0.228281E+02   0.877647E+05   0.258907E+01
  1753   0.385929E+03   0.755694E+01  -0.225073E+02   0.876531E+05   0.261021E+01
  1754   0.385644E+03   0.748605E+01  -0.221848E+02   0.875417E+05   0.263244E+01
  1755   0.385338E+03   0.741714E+01  -0.218607E+02   0.874305E+05   0.265574E+01
  1756   0.385010E+03   0.735013E+01  -0.215351E+02   0.873194E+05   0.268010E+01
  1757   0.384661E+03   0.728510E+01  -0.212082E+02   0.872086E+05   0.270550E+01
  1758   0.384290E+03   0.722197E+01  -0.208801E+02   0.870979E+05   0.273192E+01
  1759   0.383897E+03   0.716086E+01  -0.205509E+02   0.869874E+05   0.275933E+01
  1760   0.383482E+03   0.710171E+01  -0.202207E+02   0.868770E+05   0.278773E+01
  1761   0.383046E+03   0.704453E+01  -0.198898E+02   0.867669E+05   0.281708E+01
  1762   0.382588E+03   0.698934E+01  -0.195582E+02   0.866569E+05   0.284738E+01
  1763   0.382108E+03   0.693615E+01  -0.192261E+02   0.865471E+05   0.287861E+01
  1764   0.381606E+03   0.688495E+01  -0.188937E+02   0.864375E+05   0.291074E+01
  1765   0.381084E+03   0.683575E+01  -0.185609E+02   0.863281E+05   0.294375E+01
  1766   0.380541E+03   0.678857E+01  -0.182282E+02   0.862188E+05   0.297764E+01
  1767   0.379976E+03   0.674339E+01  -0.178955E+02   0.861097E+05   0.301238E+01
  1768   0.379391E+03   0.670023E+01  -0.175630E+02   0.860008E+05   0.304795E+01
  1769   0.378785E+03   0.665908E+01  -0.172309E+02   0.858921E+05   0.308433E+01
  1770   0.378159E+03   0.661995E+01  -0.168992E+02   0.857836E+05   0.312151E+01
  1771   0.377511E+03   0.658283E+01  -0.165683E+02   0.856752E+05   0.315946E+01
  1772   0.376844E+03   0.654771E+01  -0.162379E+02   0.855670E+05   0.319817E+01
  1773   0.376156E+03   0.651460E+01  -0.159085E+02   0.854590E+05   0.323762E+01
  1774   0.375448E+03   0.648350E+01  -0.155801E+02   0.853511E+05   0.327779E+01
  1775   0.374720E+03   0.645439E+01  -0.152527E+02   0.852434E+05   0.331866E+01
  1776   0.373972E+03   0.642729E+01  -0.149267E+02   0.851359E+05   0.336021E+01
  1777   0.373204E+03   0.640217E+01  -0.146020E+02   0.850286E+05   0.340243E+01
  1778   0.372417E+03   0.637903E+01  -0.142788E+02   0.849215E+05   0.344530E+01
  1779   0.371610E+03   0.635786E+01  -0.139571E+02   0.848145E+05   0.348879E+01
  1780   0.370785E+03   0.633866E+01  -0.136373E+02   0.847077E+05   0.353289E+01
  1781   0.369940E+03   0.632142E+01  -0.133193E+02   0.846010E+05   0.357758E+01
  1782   0.369077E+03   0.630613E+01  -0.130034E+02   0.844946E+05   0.362284E+01
  1783   0.368195E+03   0.629278E+01  -0.126894E+02   0.843883E+05   0.366865E+01
  1784   0.367295E+03   0.628136E+01  -0.123778E+02   0.842822E+05   0.371500E+01
  1785   0.366376E+03   0.627186E+01  -0.120684E+02   0.841762E+05   0.376186E+01
  1786   0.365441E+03   0.626426E+01  -0.117615E+02   0.840704E+05   0.380922E+01
  1787   0.364488E+03   0.625854E+01  -0.114572E+02   0.839648E+05   0.385706E+01
  1788   0.363517E+03   0.625471E+01  -0.111555E+02   0.838594E+05   0.390536E+01
  1789   0.362530E+03   0.625274E+01  -0.108567E+02   0.837541E+05   0.395410E+01
  1790   0.361526E+03   0.625261E+01  -0.105606E+02   0.836490E+05   0.400326E+01
  1791   0.360505E+03   0.625433E+01  -0.102676E+02   0.835441E+05   0.405283E+01
  1792   0.359468E+03   0.625784E+01  -0.997766E+01   0.834393E+05   0.410278E+01
  1793   0.358416E+03   0.626316E+01  -0.969094E+01   0.833347E+05   0.415310E+01
  1794   0.357346E+03   0.627025E+01  -0.940751E+01   0.832303E+05   0.420377E+01
  1795   0.356262E+03   0.627911E+01  -0.912744E+01   0.831260E+05   0.425477E+01
  1796   0.355162E+03   0.628971E+01  -0.885080E+01   0.830219E+05   0.430607E+01
  1797   0.354048E+03   0.630202E+01  -0.857781E+01   0.829180E+05   0.435767E+01
  1798   0.352918E+03   0.631603E+01  -0.830854E+01   0.828143E+05   0.440955E+01
  1799   0.351775E+03   0.633173E+01  -0.804290E+01   0.827107E+05   0.446168E+01
  1800   0.350617E+03   0.634908E+01  -0.778120E+01   0.826072E+05   0.451404E+01
  1801   0.349446E+03   0.636806E+01  -0.752341E+01   0.825040E+05   0.456663E+01
  1802   0.348262E+03   0.638867E+01  -0.726965E+01   0.824009E+05   0.461944E+01
  1803   0.347066E+03   0.641086E+01  -0.702001E+01   0.822979E+05   0.467247E+01
  1804   0.345857E+03   0.643462E+01  -0.677458E+01   0.821951E+05   0.472574E+01
  1805   0.344636E+03   0.645993E+01  -0.653342E+01   0.820925E+05   0.477925E+01
  1806   0.343404E+03   0.648675E+01  -0.629661E+01   0.819901E+05   0.483299E+01
  1807   0.342160E+03   0.651507E+01  -0.606423E+01   0.818878E+05   0.488698E+01
  1808   0.340905E+03   0.654485E+01  -0.583634E+01   0.817857E+05   0.494122E+01
  1809   0.339640E+03   0.657607E+01  -0.561304E+01   0.816837E+05   0.499571E+01
  1810   0.338364E+03   0.660871E+01  -0.539438E+01   0.815819E+05   0.505046E+01
  1811   0.337078E+03   0.664275E+01  -0.518043E+01   0.814803E+05   0.510547E+01
  1812   0.335783E+03   0.667813E+01  -0.497125E+01   0.813788E+05   0.516075E+01
  1813   0.334478E+03   0.671486E+01  -0.476689E+01   0.812775E+05   0.521629E+01
  1814   0.333164E+03   0.675289E+01  -0.456743E+01   0.811763E+05   0.527212E+01
  1815   0.331842E+03   0.679219E+01  -0.437291E+01   0.810754E+05   0.532822E+01
  1816   0.330512E+03   0.683275E+01  -0.418339E+01   0.809745E+05   0.538461E+01
  1817   0.329175E+03   0.687453E+01  -0.399893E+01   0.808738E+05   0.544129E+01
  1818   0.327830E+03   0.691750E+01  -0.381958E+01   0.807733E+05   0.549826E+01
  1819   0.326479E+03   0.696163E+01  -0.364538E+01   0.806730E+05   0.555553E+01
  1820   0.325121E+03   0.700689E+01  -0.347637E+01   0.805728E+05   0.561311E+01
  1821   0.323757E+03   0.705322E+01  -0.331261E+01   0.804727E+05   0.567098E+01
  1822   0.322388E+03   0.710067E+01  -0.315412E+01   0.803729E+05   0.572917E+01
  1823   0.321012E+03   0.714916E+01  -0.300097E+01   0.802731E+05   0.578768E+01
  1824   0.319632E+03   0.719860E+01  -0.285319E+01   0.801736E+05   0.584650E+01
  1825   0.318248E+03   0.724901E+01  -0.271079E+01   0.800742E+05   0.590565E+01
  1826   0.316859E+03   0.730045E+01  -0.257382E+01   0.799749E+05   0.596513E+01
  1827   0.315466E+03   0.735271E+01  -0.244229E+01   0.798758E+05   0.602494E+01
  1828   0.314070E+03   0.740587E+01  -0.231621E+01   0.797769E+05   0.608509E+01
  1829   0.312672E+03   0.745991E+01  -0.219562E+01   0.796781E+05   0.614559E+01
  1830   0.311270E+03   0.751478E+01  -0.208054E+01   0.795795E+05   0.620642E+01
