#           k/h    P           
   0.845561E-01   0.262463E+03
   0.862642E-01   0.253500E+03
   0.880068E-01   0.244551E+03
   0.897847E-01   0.235694E+03
   0.915985E-01   0.227015E+03
   0.934489E-01   0.218593E+03
   0.953367E-01   0.210518E+03
   0.972626E-01   0.202870E+03
   0.992274E-01   0.195715E+03
   0.101232E+00   0.189110E+03
   0.103277E+00   0.183101E+03
   0.105363E+00   0.177699E+03
   0.107492E+00   0.172886E+03
   0.109663E+00   0.168636E+03
   0.111879E+00   0.164877E+03
   0.114139E+00   0.161529E+03
   0.116445E+00   0.158498E+03
   0.118797E+00   0.155676E+03
   0.121197E+00   0.152958E+03
   0.123645E+00   0.150234E+03
   0.126143E+00   0.147400E+03
   0.128691E+00   0.144361E+03
   0.131291E+00   0.141034E+03
   0.133943E+00   0.137369E+03
   0.136649E+00   0.133338E+03
   0.139409E+00   0.128959E+03
   0.142226E+00   0.124279E+03
   0.145099E+00   0.119383E+03
   0.148030E+00   0.114371E+03
   0.151020E+00   0.109361E+03
   0.154071E+00   0.104474E+03
   0.157184E+00   0.998351E+02
   0.160359E+00   0.955510E+02
   0.163598E+00   0.917087E+02
   0.166903E+00   0.883497E+02
   0.170275E+00   0.854746E+02
   0.173715E+00   0.830308E+02
   0.177224E+00   0.809361E+02
   0.180804E+00   0.790846E+02
   0.184457E+00   0.773597E+02
   0.188183E+00   0.756426E+02
   0.191985E+00   0.738182E+02
   0.195863E+00   0.717937E+02
   0.199820E+00   0.695185E+02
   0.203856E+00   0.669954E+02
   0.207974E+00   0.642819E+02
   0.212176E+00   0.614708E+02
   0.216462E+00   0.586714E+02
   0.220835E+00   0.559935E+02
   0.225296E+00   0.535327E+02
   0.229847E+00   0.513525E+02
   0.234490E+00   0.494714E+02
   0.239227E+00   0.478628E+02
   0.244060E+00   0.464649E+02
   0.248990E+00   0.451907E+02
   0.254020E+00   0.439394E+02
   0.259152E+00   0.426178E+02
   0.264387E+00   0.411718E+02
   0.269728E+00   0.396028E+02
   0.275177E+00   0.379555E+02
   0.280736E+00   0.362932E+02
   0.286407E+00   0.346861E+02
   0.292193E+00   0.332026E+02
   0.298096E+00   0.318856E+02
   0.304118E+00   0.307320E+02
   0.310261E+00   0.296998E+02
   0.316529E+00   0.287328E+02
   0.322923E+00   0.277755E+02
   0.329447E+00   0.267827E+02
   0.336102E+00   0.257400E+02
   0.342892E+00   0.246717E+02
   0.349819E+00   0.236208E+02
   0.356885E+00   0.226266E+02
   0.364095E+00   0.217149E+02
   0.371450E+00   0.208893E+02
   0.378954E+00   0.201276E+02
   0.386609E+00   0.193971E+02
   0.394419E+00   0.186709E+02
   0.402387E+00   0.179357E+02
   0.410516E+00   0.171996E+02
   0.418809E+00   0.164853E+02
   0.427269E+00   0.158094E+02
   0.435901E+00   0.151803E+02
   0.444706E+00   0.145934E+02
   0.453690E+00   0.140312E+02
   0.462855E+00   0.134816E+02
   0.472206E+00   0.129393E+02
   0.481745E+00   0.124082E+02
   0.491477E+00   0.118999E+02
   0.501405E+00   0.114180E+02
   0.511534E+00   0.109624E+02
   0.521868E+00   0.105264E+02
   0.532411E+00   0.101033E+02
   0.543166E+00   0.969207E+01
   0.554139E+00   0.929448E+01
   0.565333E+00   0.891491E+01
   0.576753E+00   0.855274E+01
   0.588404E+00   0.820649E+01
   0.600291E+00   0.787241E+01
   0.612418E+00   0.755016E+01
   0.624789E+00   0.723985E+01
   0.637411E+00   0.694300E+01
   0.650288E+00   0.665844E+01
   0.663424E+00   0.638543E+01
   0.676826E+00   0.612334E+01
   0.690499E+00   0.587161E+01
   0.704448E+00   0.562984E+01
   0.718679E+00   0.539774E+01
   0.733197E+00   0.517497E+01
   0.748009E+00   0.496123E+01
   0.763119E+00   0.475619E+01
   0.778536E+00   0.455951E+01
   0.794263E+00   0.437087E+01
   0.810308E+00   0.418995E+01
   0.826677E+00   0.401638E+01
   0.843378E+00   0.384987E+01
   0.860415E+00   0.369015E+01
   0.877797E+00   0.353695E+01
   0.895529E+00   0.339004E+01
   0.913620E+00   0.324915E+01
   0.932076E+00   0.311406E+01
   0.950906E+00   0.298454E+01
   0.970115E+00   0.286036E+01
   0.989713E+00   0.274132E+01
   0.100971E+01   0.262721E+01
   0.103010E+01   0.251784E+01
   0.105091E+01   0.241302E+01
   0.107214E+01   0.231258E+01
   0.109380E+01   0.221633E+01
   0.111590E+01   0.212411E+01
   0.113844E+01   0.203576E+01
   0.116144E+01   0.195113E+01
   0.118490E+01   0.187006E+01
   0.120884E+01   0.179241E+01
   0.123326E+01   0.171804E+01
   0.125817E+01   0.164682E+01
   0.128359E+01   0.157861E+01
   0.130952E+01   0.151330E+01
   0.133597E+01   0.145077E+01
   0.136296E+01   0.139090E+01
   0.139049E+01   0.133358E+01
   0.141858E+01   0.127871E+01
   0.144724E+01   0.122619E+01
   0.147648E+01   0.117592E+01
   0.150630E+01   0.112779E+01
   0.153673E+01   0.108174E+01
   0.156778E+01   0.103765E+01
   0.159945E+01   0.995466E+00
   0.163176E+01   0.955090E+00
   0.166472E+01   0.916449E+00
   0.169835E+01   0.879470E+00
   0.173266E+01   0.844081E+00
   0.176766E+01   0.810214E+00
   0.180337E+01   0.777804E+00
   0.183980E+01   0.746788E+00
   0.187697E+01   0.717106E+00
   0.191489E+01   0.688701E+00
   0.195357E+01   0.661516E+00
   0.199304E+01   0.635500E+00
   0.203330E+01   0.610600E+00
   0.207437E+01   0.586768E+00
   0.211628E+01   0.563957E+00
   0.215903E+01   0.542122E+00
   0.220265E+01   0.521220E+00
   0.224714E+01   0.501211E+00
   0.229254E+01   0.482055E+00
   0.233885E+01   0.463715E+00
   0.238610E+01   0.446156E+00
   0.243430E+01   0.429341E+00
   0.248348E+01   0.413240E+00
   0.253365E+01   0.397819E+00
