#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.764336E-04   0.362457E+07   0.362457E+07   0.481113E+07   0.481065E+07   0.000000E+00   0.362457E+07   0.362457E+07   0.363427E+07  -0.599715E+00   0.360920E+07   0.360919E+07   0.599374E+02
   0.843998E-04   0.362453E+07   0.362453E+07   0.480634E+07   0.480577E+07   0.000000E+00   0.362453E+07   0.362453E+07   0.363422E+07  -0.599707E+00   0.360916E+07   0.360915E+07   0.661471E+02
   0.931962E-04   0.362449E+07   0.362448E+07   0.480052E+07   0.479982E+07   0.000000E+00   0.362449E+07   0.362449E+07   0.363416E+07  -0.599697E+00   0.360912E+07   0.360911E+07   0.729912E+02
   0.102909E-03   0.362443E+07   0.362443E+07   0.479343E+07   0.479258E+07   0.000000E+00   0.362443E+07   0.362443E+07   0.363409E+07  -0.599685E+00   0.360907E+07   0.360905E+07   0.805314E+02
   0.113635E-03   0.362437E+07   0.362436E+07   0.478479E+07   0.478376E+07   0.000000E+00   0.362437E+07   0.362437E+07   0.363401E+07  -0.599670E+00   0.360900E+07   0.360898E+07   0.888343E+02
   0.125479E-03   0.362429E+07   0.362428E+07   0.477428E+07   0.477302E+07   0.000000E+00   0.362428E+07   0.362428E+07   0.363391E+07  -0.599652E+00   0.360892E+07   0.360890E+07   0.979713E+02
   0.138556E-03   0.362419E+07   0.362418E+07   0.476150E+07   0.475997E+07   0.000000E+00   0.362419E+07   0.362419E+07   0.363378E+07  -0.599630E+00   0.360882E+07   0.360879E+07   0.108019E+03
   0.152997E-03   0.362407E+07   0.362405E+07   0.474596E+07   0.474409E+07   0.000000E+00   0.362406E+07   0.362406E+07   0.363363E+07  -0.599604E+00   0.360871E+07   0.360867E+07   0.119057E+03
   0.168943E-03   0.362392E+07   0.362390E+07   0.472707E+07   0.472480E+07   0.000000E+00   0.362392E+07   0.362392E+07   0.363344E+07  -0.599571E+00   0.360856E+07   0.360852E+07   0.131170E+03
   0.186551E-03   0.362374E+07   0.362372E+07   0.470414E+07   0.470138E+07   0.000000E+00   0.362374E+07   0.362374E+07   0.363322E+07  -0.599532E+00   0.360839E+07   0.360833E+07   0.144445E+03
   0.205994E-03   0.362352E+07   0.362350E+07   0.467631E+07   0.467298E+07   0.000000E+00   0.362352E+07   0.362352E+07   0.363294E+07  -0.599484E+00   0.360817E+07   0.360811E+07   0.158967E+03
   0.227463E-03   0.362325E+07   0.362323E+07   0.464260E+07   0.463856E+07   0.000000E+00   0.362325E+07   0.362325E+07   0.363261E+07  -0.599425E+00   0.360791E+07   0.360783E+07   0.174822E+03
   0.251170E-03   0.362293E+07   0.362290E+07   0.460180E+07   0.459691E+07   0.000000E+00   0.362293E+07   0.362293E+07   0.363220E+07  -0.599354E+00   0.360759E+07   0.360750E+07   0.192086E+03
   0.277348E-03   0.362254E+07   0.362250E+07   0.455252E+07   0.454661E+07   0.000000E+00   0.362253E+07   0.362253E+07   0.363170E+07  -0.599268E+00   0.360721E+07   0.360709E+07   0.210825E+03
   0.306255E-03   0.362206E+07   0.362201E+07   0.449310E+07   0.448598E+07   0.000000E+00   0.362205E+07   0.362205E+07   0.363110E+07  -0.599163E+00   0.360674E+07   0.360659E+07   0.231087E+03
   0.338173E-03   0.362147E+07   0.362142E+07   0.442164E+07   0.441308E+07   0.000000E+00   0.362146E+07   0.362146E+07   0.363037E+07  -0.599035E+00   0.360616E+07   0.360599E+07   0.252886E+03
   0.373419E-03   0.362076E+07   0.362069E+07   0.433596E+07   0.432570E+07   0.000000E+00   0.362075E+07   0.362075E+07   0.362948E+07  -0.598881E+00   0.360547E+07   0.360526E+07   0.276199E+03
   0.412338E-03   0.361990E+07   0.361982E+07   0.423362E+07   0.422137E+07   0.000000E+00   0.361989E+07   0.361989E+07   0.362841E+07  -0.598693E+00   0.360462E+07   0.360437E+07   0.300938E+03
   0.455314E-03   0.361886E+07   0.361875E+07   0.411195E+07   0.409739E+07   0.000000E+00   0.361884E+07   0.361884E+07   0.362712E+07  -0.598467E+00   0.360359E+07   0.360329E+07   0.326938E+03
   0.502768E-03   0.361759E+07   0.361747E+07   0.396809E+07   0.395088E+07   0.000000E+00   0.361757E+07   0.361757E+07   0.362555E+07  -0.598194E+00   0.360234E+07   0.360198E+07   0.353925E+03
   0.555168E-03   0.361605E+07   0.361591E+07   0.379918E+07   0.377899E+07   0.000000E+00   0.361603E+07   0.361603E+07   0.362367E+07  -0.597864E+00   0.360083E+07   0.360040E+07   0.381489E+03
   0.613030E-03   0.361419E+07   0.361402E+07   0.360255E+07   0.357905E+07   0.000000E+00   0.361417E+07   0.361417E+07   0.362141E+07  -0.597468E+00   0.359900E+07   0.359849E+07   0.409046E+03
   0.676922E-03   0.361195E+07   0.361174E+07   0.337604E+07   0.334897E+07   0.000000E+00   0.361192E+07   0.361192E+07   0.361870E+07  -0.596994E+00   0.359678E+07   0.359619E+07   0.435808E+03
   0.747473E-03   0.360924E+07   0.360900E+07   0.311851E+07   0.308772E+07   0.000000E+00   0.360921E+07   0.360921E+07   0.361547E+07  -0.596428E+00   0.359411E+07   0.359341E+07   0.460747E+03
   0.825378E-03   0.360599E+07   0.360571E+07   0.283043E+07   0.279592E+07   0.000000E+00   0.360595E+07   0.360595E+07   0.361163E+07  -0.595754E+00   0.359089E+07   0.359008E+07   0.482581E+03
   0.911402E-03   0.360210E+07   0.360176E+07   0.251464E+07   0.247669E+07   0.000000E+00   0.360205E+07   0.360205E+07   0.360708E+07  -0.594957E+00   0.358702E+07   0.358610E+07   0.499783E+03
   0.100639E-02   0.359744E+07   0.359705E+07   0.217720E+07   0.213640E+07   0.000000E+00   0.359738E+07   0.359738E+07   0.360174E+07  -0.594018E+00   0.358238E+07   0.358134E+07   0.510642E+03
   0.111128E-02   0.359190E+07   0.359146E+07   0.182812E+07   0.178541E+07   0.000000E+00   0.359183E+07   0.359183E+07   0.359548E+07  -0.592920E+00   0.357685E+07   0.357570E+07   0.513385E+03
   0.122710E-02   0.358533E+07   0.358483E+07   0.148164E+07   0.143833E+07   0.000000E+00   0.358525E+07   0.358525E+07   0.358821E+07  -0.591643E+00   0.357028E+07   0.356902E+07   0.506414E+03
   0.135500E-02   0.357759E+07   0.357702E+07   0.115575E+07   0.111339E+07   0.000000E+00   0.357750E+07   0.357750E+07   0.357980E+07  -0.590171E+00   0.356250E+07   0.356117E+07   0.488642E+03
   0.149622E-02   0.356851E+07   0.356788E+07   0.870272E+06   0.830379E+06   0.000000E+00   0.356841E+07   0.356841E+07   0.357013E+07  -0.588483E+00   0.355337E+07   0.355198E+07   0.459931E+03
   0.165216E-02   0.355792E+07   0.355724E+07   0.643077E+06   0.606766E+06   0.000000E+00   0.355782E+07   0.355782E+07   0.355908E+07  -0.586564E+00   0.354269E+07   0.354129E+07   0.421554E+03
   0.182435E-02   0.354566E+07   0.354491E+07   0.484745E+06   0.452259E+06   0.000000E+00   0.354554E+07   0.354554E+07   0.354650E+07  -0.584393E+00   0.353030E+07   0.352892E+07   0.376510E+03
   0.201449E-02   0.353154E+07   0.353073E+07   0.392859E+06   0.363301E+06   0.000000E+00   0.353142E+07   0.353142E+07   0.353219E+07  -0.581947E+00   0.351603E+07   0.351470E+07   0.329435E+03
   0.222445E-02   0.351539E+07   0.351451E+07   0.349084E+06   0.320673E+06   0.000000E+00   0.351526E+07   0.351526E+07   0.351594E+07  -0.579199E+00   0.349972E+07   0.349843E+07   0.285805E+03
   0.245629E-02   0.349702E+07   0.349604E+07   0.323207E+06   0.294277E+06   0.000000E+00   0.349687E+07   0.349687E+07   0.349750E+07  -0.576111E+00   0.348118E+07   0.347994E+07   0.250343E+03
   0.271230E-02   0.347622E+07   0.347511E+07   0.286426E+06   0.256873E+06   0.000000E+00   0.347605E+07   0.347605E+07   0.347660E+07  -0.572639E+00   0.346025E+07   0.345902E+07   0.224995E+03
   0.299498E-02   0.345278E+07   0.345150E+07   0.229190E+06   0.201144E+06   0.000000E+00   0.345258E+07   0.345258E+07   0.345302E+07  -0.568737E+00   0.343672E+07   0.343546E+07   0.207654E+03
   0.330713E-02   0.342645E+07   0.342497E+07   0.168821E+06   0.145096E+06   0.000000E+00   0.342622E+07   0.342622E+07   0.342654E+07  -0.564361E+00   0.341035E+07   0.340906E+07   0.193143E+03
   0.365181E-02   0.339700E+07   0.339527E+07   0.131715E+06   0.112613E+06   0.000000E+00   0.339674E+07   0.339674E+07   0.339698E+07  -0.559472E+00   0.338089E+07   0.337958E+07   0.176862E+03
   0.403241E-02   0.336418E+07   0.336216E+07   0.119698E+06   0.100025E+06   0.000000E+00   0.336386E+07   0.336386E+07   0.336409E+07  -0.554034E+00   0.334806E+07   0.334677E+07   0.158636E+03
   0.445269E-02   0.332772E+07   0.332536E+07   0.105218E+06   0.811558E+05   0.000000E+00   0.332736E+07   0.332736E+07   0.332755E+07  -0.548005E+00   0.331164E+07   0.331036E+07   0.142212E+03
   0.491676E-02   0.328738E+07   0.328461E+07   0.768958E+05   0.657596E+05   0.000000E+00   0.328695E+07   0.328695E+07   0.328710E+07  -0.541336E+00   0.327136E+07   0.327007E+07   0.129841E+03
   0.542920E-02   0.324290E+07   0.323962E+07   0.596370E+05   0.532065E+05   0.000000E+00   0.324239E+07   0.324239E+07   0.324251E+07  -0.533984E+00   0.322695E+07   0.322564E+07   0.119338E+03
   0.599505E-02   0.319401E+07   0.319013E+07   0.545788E+05   0.429808E+05   0.000000E+00   0.319341E+07   0.319341E+07   0.319351E+07  -0.525908E+00   0.317816E+07   0.317684E+07   0.108722E+03
   0.661988E-02   0.314046E+07   0.313586E+07   0.395603E+05   0.346604E+05   0.000000E+00   0.313975E+07   0.313975E+07   0.313983E+07  -0.517063E+00   0.312472E+07   0.312339E+07   0.991550E+02
   0.730983E-02   0.308200E+07   0.307652E+07   0.337109E+05   0.278972E+05   0.000000E+00   0.308115E+07   0.308115E+07   0.308121E+07  -0.507406E+00   0.306637E+07   0.306502E+07   0.910434E+02
   0.807169E-02   0.301835E+07   0.301185E+07   0.283205E+05   0.224067E+05   0.000000E+00   0.301735E+07   0.301735E+07   0.301740E+07  -0.496894E+00   0.300285E+07   0.300148E+07   0.838641E+02
   0.891295E-02   0.294927E+07   0.294156E+07   0.203007E+05   0.179555E+05   0.000000E+00   0.294808E+07   0.294808E+07   0.294812E+07  -0.485483E+00   0.293390E+07   0.293251E+07   0.774123E+02
   0.984188E-02   0.287452E+07   0.286536E+07   0.175866E+05   0.143517E+05   0.000000E+00   0.287310E+07   0.287310E+07   0.287314E+07  -0.473132E+00   0.285927E+07   0.285785E+07   0.718488E+02
   0.108676E-01   0.279383E+07   0.278300E+07   0.143556E+05   0.114390E+05   0.000000E+00   0.279216E+07   0.279216E+07   0.279219E+07  -0.459800E+00   0.277872E+07   0.277725E+07   0.668876E+02
   0.120003E-01   0.270699E+07   0.269419E+07   0.107184E+05   0.908886E+04   0.000000E+00   0.270501E+07   0.270501E+07   0.270503E+07  -0.445447E+00   0.269199E+07   0.269047E+07   0.626638E+02
   0.132510E-01   0.261377E+07   0.259871E+07   0.835715E+04   0.719631E+04   0.000000E+00   0.261145E+07   0.261145E+07   0.261146E+07  -0.430037E+00   0.259888E+07   0.259731E+07   0.589077E+02
   0.146321E-01   0.251401E+07   0.249636E+07   0.752981E+04   0.567559E+04   0.000000E+00   0.251129E+07   0.251129E+07   0.251130E+07  -0.413543E+00   0.249922E+07   0.249757E+07   0.556408E+02
   0.161571E-01   0.240760E+07   0.238704E+07   0.588787E+04   0.445667E+04   0.000000E+00   0.240443E+07   0.240443E+07   0.240444E+07  -0.395945E+00   0.239289E+07   0.239117E+07   0.527425E+02
   0.178410E-01   0.229456E+07   0.227078E+07   0.423615E+04   0.348244E+04   0.000000E+00   0.229089E+07   0.229089E+07   0.229090E+07  -0.377247E+00   0.227991E+07   0.227811E+07   0.501130E+02
   0.197005E-01   0.217507E+07   0.214781E+07   0.340667E+04   0.270639E+04   0.000000E+00   0.217086E+07   0.217086E+07   0.217087E+07  -0.357481E+00   0.216048E+07   0.215859E+07   0.476403E+02
   0.217538E-01   0.204958E+07   0.201868E+07   0.230524E+04   0.209068E+04   0.000000E+00   0.204481E+07   0.204481E+07   0.204481E+07  -0.336723E+00   0.203506E+07   0.203308E+07   0.452129E+02
   0.240210E-01   0.191891E+07   0.188436E+07   0.172440E+04   0.160455E+04   0.000000E+00   0.191358E+07   0.191358E+07   0.191358E+07  -0.315112E+00   0.190449E+07   0.190242E+07   0.426961E+02
   0.265246E-01   0.178437E+07   0.174639E+07   0.136343E+04   0.122302E+04   0.000000E+00   0.177851E+07   0.177851E+07   0.177851E+07  -0.292870E+00   0.177009E+07   0.176795E+07   0.399517E+02
   0.292891E-01   0.164785E+07   0.160697E+07   0.112854E+04   0.925769E+03   0.000000E+00   0.164154E+07   0.164154E+07   0.164154E+07  -0.270315E+00   0.163380E+07   0.163162E+07   0.368791E+02
   0.323417E-01   0.151192E+07   0.146903E+07   0.759503E+03   0.696219E+03   0.000000E+00   0.150530E+07   0.150530E+07   0.150530E+07  -0.247880E+00   0.149823E+07   0.149605E+07   0.333807E+02
   0.357124E-01   0.137975E+07   0.133618E+07   0.651177E+03   0.520803E+03   0.000000E+00   0.137302E+07   0.137302E+07   0.137302E+07  -0.226097E+00   0.136659E+07   0.136447E+07   0.294112E+02
   0.394345E-01   0.125486E+07   0.121233E+07   0.456077E+03   0.388325E+03   0.000000E+00   0.124830E+07   0.124830E+07   0.124830E+07  -0.205559E+00   0.124246E+07   0.124047E+07   0.250072E+02
   0.435445E-01   0.114069E+07   0.110116E+07   0.312832E+03   0.289470E+03   0.000000E+00   0.113459E+07   0.113459E+07   0.113459E+07  -0.186834E+00   0.112928E+07   0.112749E+07   0.203078E+02
   0.478990E-01   0.104304E+07   0.100822E+07   0.244985E+03   0.218803E+03   0.000000E+00   0.103767E+07   0.103767E+07   0.103767E+07  -0.170874E+00   0.103279E+07   0.103127E+07   0.157535E+02
   0.522534E-01   0.965721E+06   0.936387E+06   0.190696E+03   0.170315E+03   0.000000E+00   0.961194E+06   0.961194E+06   0.961194E+06  -0.158281E+00   0.956654E+06   0.955405E+06   0.118466E+02
   0.566079E-01   0.902534E+06   0.878667E+06   0.151959E+03   0.135716E+03   0.000000E+00   0.898850E+06   0.898850E+06   0.898850E+06  -0.148015E+00   0.894578E+06   0.893583E+06   0.871811E+01
   0.609623E-01   0.849133E+06   0.830043E+06   0.123357E+03   0.110170E+03   0.000000E+00   0.846187E+06   0.846187E+06   0.846187E+06  -0.139343E+00   0.842142E+06   0.841354E+06   0.640880E+01
   0.653168E-01   0.801378E+06   0.785916E+06   0.101469E+03   0.906217E+02   0.000000E+00   0.798992E+06   0.798992E+06   0.798992E+06  -0.131571E+00   0.795156E+06   0.794515E+06   0.486909E+01
   0.696712E-01   0.756297E+06   0.743105E+06   0.841910E+02   0.751905E+02   0.000000E+00   0.754261E+06   0.754261E+06   0.754261E+06  -0.124205E+00   0.750633E+06   0.750074E+06   0.398307E+01
   0.740257E-01   0.712117E+06   0.699879E+06   0.702235E+02   0.627162E+02   0.000000E+00   0.710228E+06   0.710228E+06   0.710229E+06  -0.116954E+00   0.706814E+06   0.706277E+06   0.359322E+01
   0.783801E-01   0.668328E+06   0.655967E+06   0.587723E+02   0.524894E+02   0.000000E+00   0.666420E+06   0.666420E+06   0.666420E+06  -0.109740E+00   0.663224E+06   0.662667E+06   0.352687E+01
   0.827346E-01   0.625370E+06   0.612187E+06   0.493359E+02   0.440621E+02   0.000000E+00   0.623335E+06   0.623335E+06   0.623335E+06  -0.102645E+00   0.620359E+06   0.619755E+06   0.362035E+01
   0.870890E-01   0.584180E+06   0.569899E+06   0.415688E+02   0.371257E+02   0.000000E+00   0.581976E+06   0.581976E+06   0.581976E+06  -0.958346E-01   0.579211E+06   0.578554E+06   0.373801E+01
   0.914435E-01   0.545761E+06   0.530501E+06   0.352033E+02   0.314408E+02   0.000000E+00   0.543406E+06   0.543406E+06   0.543406E+06  -0.894832E-01   0.540837E+06   0.540139E+06   0.378395E+01
   0.968429E-01   0.503336E+06   0.487464E+06   0.289298E+02   0.258380E+02   0.000000E+00   0.500887E+06   0.500887E+06   0.500887E+06  -0.824815E-01   0.498530E+06   0.497814E+06   0.366674E+01
   0.102242E+00   0.467856E+06   0.452298E+06   0.241185E+02   0.215410E+02   0.000000E+00   0.465455E+06   0.465455E+06   0.465455E+06  -0.766470E-01   0.463269E+06   0.462579E+06   0.334641E+01
   0.107642E+00   0.439520E+06   0.425175E+06   0.204440E+02   0.182591E+02   0.000000E+00   0.437306E+06   0.437306E+06   0.437306E+06  -0.720116E-01   0.435248E+06   0.434624E+06   0.287643E+01
   0.113041E+00   0.417161E+06   0.404649E+06   0.176027E+02   0.157214E+02   0.000000E+00   0.415230E+06   0.415230E+06   0.415230E+06  -0.683764E-01   0.413268E+06   0.412733E+06   0.234551E+01
   0.118441E+00   0.398797E+06   0.388320E+06   0.153384E+02   0.136989E+02   0.000000E+00   0.397180E+06   0.397180E+06   0.397180E+06  -0.654040E-01   0.395292E+06   0.394851E+06   0.184525E+01
   0.123840E+00   0.382435E+06   0.373782E+06   0.134628E+02   0.120237E+02   0.000000E+00   0.381100E+06   0.381100E+06   0.381100E+06  -0.627561E-01   0.379278E+06   0.378917E+06   0.144541E+01
   0.129239E+00   0.366505E+06   0.359160E+06   0.118517E+02   0.105847E+02   0.000000E+00   0.365371E+06   0.365371E+06   0.365371E+06  -0.601661E-01   0.363619E+06   0.363312E+06   0.118061E+01
   0.134639E+00   0.350017E+06   0.343336E+06   0.104306E+02   0.931551E+01   0.000000E+00   0.348986E+06   0.348986E+06   0.348986E+06  -0.574679E-01   0.347312E+06   0.347027E+06   0.104895E+01
   0.140038E+00   0.332694E+06   0.326079E+06   0.916323E+01   0.818368E+01   0.000000E+00   0.331673E+06   0.331673E+06   0.331673E+06  -0.546170E-01   0.330084E+06   0.329796E+06   0.102033E+01
   0.145438E+00   0.314911E+06   0.307954E+06   0.803829E+01   0.717905E+01   0.000000E+00   0.313837E+06   0.313837E+06   0.313837E+06  -0.516798E-01   0.312339E+06   0.312031E+06   0.104973E+01
   0.150837E+00   0.297410E+06   0.289956E+06   0.705419E+01   0.630019E+01   0.000000E+00   0.296259E+06   0.296259E+06   0.296259E+06  -0.487853E-01   0.294852E+06   0.294520E+06   0.109121E+01
   0.156237E+00   0.281019E+06   0.273159E+06   0.620959E+01   0.554591E+01   0.000000E+00   0.279806E+06   0.279806E+06   0.279806E+06  -0.460760E-01   0.278482E+06   0.278133E+06   0.110888E+01
   0.161636E+00   0.266462E+06   0.258463E+06   0.549920E+01   0.491147E+01   0.000000E+00   0.265227E+06   0.265227E+06   0.265227E+06  -0.436752E-01   0.263975E+06   0.263622E+06   0.108316E+01
   0.167035E+00   0.254145E+06   0.246347E+06   0.491087E+01   0.438602E+01   0.000000E+00   0.252942E+06   0.252942E+06   0.252942E+06  -0.416522E-01   0.251748E+06   0.251408E+06   0.101171E+01
   0.172435E+00   0.244003E+06   0.236714E+06   0.442488E+01   0.395196E+01   0.000000E+00   0.242878E+06   0.242878E+06   0.242878E+06  -0.399950E-01   0.241730E+06   0.241415E+06   0.905939E+00
   0.177834E+00   0.235567E+06   0.228986E+06   0.401778E+01   0.358835E+01   0.000000E+00   0.234552E+06   0.234552E+06   0.234552E+06  -0.386239E-01   0.233440E+06   0.233158E+06   0.784946E+00
   0.183234E+00   0.228210E+06   0.222386E+06   0.366781E+01   0.327577E+01   0.000000E+00   0.227311E+06   0.227311E+06   0.227311E+06  -0.374316E-01   0.226230E+06   0.225983E+06   0.668918E+00
   0.188633E+00   0.221319E+06   0.216163E+06   0.335762E+01   0.299871E+01   0.000000E+00   0.220523E+06   0.220523E+06   0.220523E+06  -0.363138E-01   0.219471E+06   0.219253E+06   0.573783E+00
   0.194033E+00   0.214385E+06   0.209707E+06   0.307470E+01   0.274603E+01   0.000000E+00   0.213663E+06   0.213663E+06   0.213663E+06  -0.351842E-01   0.212642E+06   0.212443E+06   0.508051E+00
   0.199432E+00   0.207098E+06   0.202671E+06   0.281174E+01   0.251117E+01   0.000000E+00   0.206415E+06   0.206415E+06   0.206415E+06  -0.339905E-01   0.205428E+06   0.205238E+06   0.472156E+00
   0.204831E+00   0.199422E+06   0.195040E+06   0.256640E+01   0.229206E+01   0.000000E+00   0.198746E+06   0.198746E+06   0.198746E+06  -0.327277E-01   0.197797E+06   0.197607E+06   0.459919E+00
   0.210231E+00   0.191556E+06   0.187081E+06   0.233960E+01   0.208952E+01   0.000000E+00   0.190866E+06   0.190866E+06   0.190866E+06  -0.314300E-01   0.189956E+06   0.189760E+06   0.461357E+00
   0.215630E+00   0.183805E+06   0.179187E+06   0.213326E+01   0.190525E+01   0.000000E+00   0.183092E+06   0.183092E+06   0.183092E+06  -0.301500E-01   0.182222E+06   0.182019E+06   0.465851E+00
   0.221030E+00   0.176479E+06   0.171753E+06   0.194884E+01   0.174054E+01   0.000000E+00   0.175750E+06   0.175750E+06   0.175750E+06  -0.289409E-01   0.174916E+06   0.174709E+06   0.464818E+00
   0.226429E+00   0.169826E+06   0.165087E+06   0.178665E+01   0.159569E+01   0.000000E+00   0.169094E+06   0.169094E+06   0.169094E+06  -0.278450E-01   0.168294E+06   0.168087E+06   0.453317E+00
   0.231829E+00   0.163970E+06   0.159336E+06   0.164553E+01   0.146965E+01   0.000000E+00   0.163255E+06   0.163255E+06   0.163255E+06  -0.268833E-01   0.162482E+06   0.162280E+06   0.430455E+00
   0.237228E+00   0.158887E+06   0.154467E+06   0.152288E+01   0.136011E+01   0.000000E+00   0.158205E+06   0.158205E+06   0.158205E+06  -0.260518E-01   0.157455E+06   0.157264E+06   0.398743E+00
   0.242627E+00   0.154437E+06   0.150302E+06   0.141534E+01   0.126406E+01   0.000000E+00   0.153799E+06   0.153799E+06   0.153799E+06  -0.253263E-01   0.153069E+06   0.152891E+06   0.362759E+00
   0.248027E+00   0.150417E+06   0.146586E+06   0.131943E+01   0.117840E+01   0.000000E+00   0.149826E+06   0.149826E+06   0.149826E+06  -0.246720E-01   0.149113E+06   0.148950E+06   0.327573E+00
   0.253426E+00   0.146601E+06   0.143044E+06   0.123200E+01   0.110031E+01   0.000000E+00   0.146052E+06   0.146052E+06   0.146052E+06  -0.240505E-01   0.145356E+06   0.145204E+06   0.297368E+00
   0.258826E+00   0.142789E+06   0.139441E+06   0.115058E+01   0.102759E+01   0.000000E+00   0.142272E+06   0.142272E+06   0.142272E+06  -0.234281E-01   0.141594E+06   0.141450E+06   0.274576E+00
   0.264225E+00   0.138869E+06   0.135651E+06   0.107377E+01   0.958995E+00   0.000000E+00   0.138372E+06   0.138372E+06   0.138372E+06  -0.227859E-01   0.137712E+06   0.137574E+06   0.259620E+00
   0.269625E+00   0.134840E+06   0.131679E+06   0.100123E+01   0.894204E+00   0.000000E+00   0.134352E+06   0.134352E+06   0.134352E+06  -0.221238E-01   0.133711E+06   0.133574E+06   0.251185E+00
   0.275024E+00   0.130772E+06   0.127616E+06   0.933161E+00   0.833415E+00   0.000000E+00   0.130285E+06   0.130285E+06   0.130285E+06  -0.214542E-01   0.129665E+06   0.129528E+06   0.246854E+00
