#    L    TT             EE             BB             TE          
   126   0.343082E+04   0.104328E+01   0.488759E-02  -0.376925E+02
   127   0.346402E+04   0.104963E+01   0.496901E-02  -0.381700E+02
   128   0.349724E+04   0.105553E+01   0.505126E-02  -0.386343E+02
   129   0.353049E+04   0.106099E+01   0.513433E-02  -0.390846E+02
   130   0.356374E+04   0.106598E+01   0.521822E-02  -0.395204E+02
   131   0.359698E+04   0.107052E+01   0.530296E-02  -0.399413E+02
   132   0.363022E+04   0.107459E+01   0.538853E-02  -0.403468E+02
   133   0.366344E+04   0.107820E+01   0.547496E-02  -0.407365E+02
   134   0.369664E+04   0.108134E+01   0.556224E-02  -0.411097E+02
   135   0.372980E+04   0.108400E+01   0.565039E-02  -0.414663E+02
   136   0.376293E+04   0.108619E+01   0.573941E-02  -0.418056E+02
   137   0.379602E+04   0.108789E+01   0.582931E-02  -0.421271E+02
   138   0.382905E+04   0.108913E+01   0.592009E-02  -0.424305E+02
   139   0.386201E+04   0.108988E+01   0.601177E-02  -0.427155E+02
   140   0.389492E+04   0.109015E+01   0.610435E-02  -0.429815E+02
   141   0.392774E+04   0.108996E+01   0.619783E-02  -0.432282E+02
   142   0.396048E+04   0.108929E+01   0.629223E-02  -0.434552E+02
   143   0.399314E+04   0.108815E+01   0.638754E-02  -0.436622E+02
   144   0.402569E+04   0.108654E+01   0.648379E-02  -0.438487E+02
   145   0.405814E+04   0.108446E+01   0.658097E-02  -0.440143E+02
   146   0.409045E+04   0.108192E+01   0.667909E-02  -0.441587E+02
   147   0.412262E+04   0.107894E+01   0.677816E-02  -0.442814E+02
   148   0.415465E+04   0.107551E+01   0.687819E-02  -0.443821E+02
   149   0.418650E+04   0.107163E+01   0.697917E-02  -0.444605E+02
   150   0.421817E+04   0.106733E+01   0.708112E-02  -0.445160E+02
   151   0.424964E+04   0.106259E+01   0.718405E-02  -0.445485E+02
   152   0.428092E+04   0.105744E+01   0.728795E-02  -0.445575E+02
   153   0.431199E+04   0.105189E+01   0.739283E-02  -0.445429E+02
   154   0.434285E+04   0.104594E+01   0.749870E-02  -0.445045E+02
   155   0.437349E+04   0.103961E+01   0.760555E-02  -0.444419E+02
   156   0.440392E+04   0.103291E+01   0.771341E-02  -0.443550E+02
