#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    41   0.121429E+04   0.167016E+01   0.977921E-03   0.167016E+01   0.602130E-01  -0.376649E-06   0.977921E-03  -0.376649E-06   0.143051E-06
    42   0.123201E+04   0.159792E+01   0.956706E-03   0.159792E+01   0.652855E-01  -0.406373E-06   0.956706E-03  -0.406373E-06   0.142739E-06
    43   0.124983E+04   0.151654E+01   0.936042E-03   0.151654E+01   0.706303E-01  -0.430625E-06   0.936042E-03  -0.430625E-06   0.142393E-06
    44   0.126781E+04   0.142422E+01   0.915991E-03   0.142422E+01   0.762357E-01  -0.448108E-06   0.915991E-03  -0.448108E-06   0.142017E-06
    45   0.128603E+04   0.131881E+01   0.896616E-03   0.131881E+01   0.820872E-01  -0.457524E-06   0.896616E-03  -0.457524E-06   0.141612E-06
    46   0.130444E+04   0.119906E+01   0.877949E-03   0.119906E+01   0.881739E-01  -0.459080E-06   0.877949E-03  -0.459080E-06   0.141181E-06
    47   0.132303E+04   0.106524E+01   0.859919E-03   0.106524E+01   0.945092E-01  -0.458993E-06   0.859919E-03  -0.458993E-06   0.140726E-06
    48   0.134177E+04   0.918005E+00   0.842424E-03   0.918005E+00   0.101107E+00  -0.464981E-06   0.842424E-03  -0.464981E-06   0.140249E-06
    49   0.136065E+04   0.758084E+00   0.825364E-03   0.758084E+00   0.107978E+00  -0.484764E-06   0.825364E-03  -0.484764E-06   0.139751E-06
    50   0.137973E+04   0.586340E+00   0.808637E-03   0.586340E+00   0.115147E+00  -0.526062E-06   0.808637E-03  -0.526062E-06   0.139233E-06
    51   0.139906E+04   0.403586E+00   0.792181E-03   0.403586E+00   0.122634E+00  -0.592770E-06   0.792181E-03  -0.592770E-06   0.138699E-06
    52   0.141859E+04   0.210239E+00   0.776072E-03   0.210239E+00   0.130433E+00  -0.673487E-06   0.776072E-03  -0.673487E-06   0.138148E-06
    53   0.143825E+04   0.640320E-02   0.760428E-03   0.640320E-02   0.138534E+00  -0.752985E-06   0.760428E-03  -0.752985E-06   0.137581E-06
    54   0.145800E+04  -0.208676E+00   0.745363E-03  -0.208676E+00   0.146924E+00  -0.816040E-06   0.745363E-03  -0.816040E-06   0.137001E-06
    55   0.147785E+04  -0.436122E+00   0.730993E-03  -0.436122E+00   0.155593E+00  -0.847424E-06   0.730993E-03  -0.847424E-06   0.136407E-06
    56   0.149791E+04  -0.677503E+00   0.717394E-03  -0.677503E+00   0.164528E+00  -0.836863E-06   0.717394E-03  -0.836863E-06   0.135801E-06
    57   0.151827E+04  -0.933595E+00   0.704493E-03  -0.933595E+00   0.173730E+00  -0.793885E-06   0.704493E-03  -0.793885E-06   0.135184E-06
    58   0.153890E+04  -0.120430E+01   0.692177E-03  -0.120430E+01   0.183205E+00  -0.732970E-06   0.692177E-03  -0.732970E-06   0.134556E-06
    59   0.155971E+04  -0.148923E+01   0.680334E-03  -0.148923E+01   0.192961E+00  -0.668598E-06   0.680334E-03  -0.668598E-06   0.133917E-06
    60   0.158068E+04  -0.178758E+01   0.668852E-03  -0.178758E+01   0.202998E+00  -0.615247E-06   0.668852E-03  -0.615247E-06   0.133268E-06
    61   0.160183E+04  -0.209862E+01   0.657629E-03  -0.209862E+01   0.213314E+00  -0.583784E-06   0.657629E-03  -0.583784E-06   0.132611E-06
    62   0.162316E+04  -0.242227E+01   0.646606E-03  -0.242227E+01   0.223906E+00  -0.570616E-06   0.646606E-03  -0.570616E-06   0.131945E-06
    63   0.164469E+04  -0.275861E+01   0.635735E-03  -0.275861E+01   0.234769E+00  -0.568540E-06   0.635735E-03  -0.568540E-06   0.131272E-06
    64   0.166642E+04  -0.310772E+01   0.624967E-03  -0.310772E+01   0.245899E+00  -0.570349E-06   0.624967E-03  -0.570349E-06   0.130594E-06
    65   0.168837E+04  -0.346975E+01   0.614253E-03  -0.346975E+01   0.257291E+00  -0.568839E-06   0.614253E-03  -0.568839E-06   0.129910E-06
    66   0.171059E+04  -0.384485E+01   0.603569E-03  -0.384485E+01   0.268937E+00  -0.559215E-06   0.603569E-03  -0.559215E-06   0.129222E-06
    67   0.173306E+04  -0.423245E+01   0.592988E-03  -0.423245E+01   0.280829E+00  -0.546330E-06   0.592988E-03  -0.546330E-06   0.128531E-06
    68   0.175573E+04  -0.463175E+01   0.582606E-03  -0.463175E+01   0.292956E+00  -0.537445E-06   0.582606E-03  -0.537445E-06   0.127837E-06
    69   0.177856E+04  -0.504201E+01   0.572520E-03  -0.504201E+01   0.305311E+00  -0.539825E-06   0.572520E-03  -0.539825E-06   0.127140E-06
    70   0.180153E+04  -0.546267E+01   0.562828E-03  -0.546267E+01   0.317886E+00  -0.560732E-06   0.562828E-03  -0.560732E-06   0.126442E-06
    71   0.182461E+04  -0.589352E+01   0.553601E-03  -0.589352E+01   0.330676E+00  -0.604452E-06   0.553601E-03  -0.604452E-06   0.125741E-06
    72   0.184791E+04  -0.633563E+01   0.544816E-03  -0.633563E+01   0.343678E+00  -0.663360E-06   0.544816E-03  -0.663360E-06   0.125040E-06
    73   0.187155E+04  -0.679017E+01   0.536427E-03  -0.679017E+01   0.356888E+00  -0.726856E-06   0.536427E-03  -0.726856E-06   0.124337E-06
    74   0.189553E+04  -0.725724E+01   0.528387E-03  -0.725724E+01   0.370296E+00  -0.784337E-06   0.528387E-03  -0.784337E-06   0.123632E-06
    75   0.191985E+04  -0.773659E+01   0.520649E-03  -0.773659E+01   0.383891E+00  -0.825201E-06   0.520649E-03  -0.825201E-06   0.122926E-06
    76   0.194448E+04  -0.822785E+01   0.513167E-03  -0.822785E+01   0.397660E+00  -0.841249E-06   0.513167E-03  -0.841249E-06   0.122219E-06
    77   0.196929E+04  -0.872959E+01   0.505902E-03  -0.872959E+01   0.411594E+00  -0.833885E-06   0.505902E-03  -0.833885E-06   0.121510E-06
    78   0.199425E+04  -0.924132E+01   0.498816E-03  -0.924132E+01   0.425682E+00  -0.806915E-06   0.498816E-03  -0.806915E-06   0.120801E-06
    79   0.201942E+04  -0.976285E+01   0.491872E-03  -0.976285E+01   0.439914E+00  -0.764146E-06   0.491872E-03  -0.764146E-06   0.120092E-06
    80   0.204481E+04  -0.102942E+02   0.485032E-03  -0.102942E+02   0.454280E+00  -0.709383E-06   0.485032E-03  -0.709383E-06   0.119384E-06
    81   0.207045E+04  -0.108350E+02   0.478264E-03  -0.108350E+02   0.468768E+00  -0.647150E-06   0.478264E-03  -0.647150E-06   0.118676E-06
    82   0.209635E+04  -0.113848E+02   0.471560E-03  -0.113848E+02   0.483369E+00  -0.584842E-06   0.471560E-03  -0.584842E-06   0.117969E-06
    83   0.212249E+04  -0.119432E+02   0.464918E-03  -0.119432E+02   0.498070E+00  -0.530568E-06   0.464918E-03  -0.530568E-06   0.117264E-06
    84   0.214887E+04  -0.125095E+02   0.458337E-03  -0.125095E+02   0.512859E+00  -0.492439E-06   0.458337E-03  -0.492439E-06   0.116560E-06
    85   0.217548E+04  -0.130835E+02   0.451815E-03  -0.130835E+02   0.527723E+00  -0.478567E-06   0.451815E-03  -0.478567E-06   0.115858E-06
    86   0.220232E+04  -0.136645E+02   0.445353E-03  -0.136645E+02   0.542653E+00  -0.494290E-06   0.445353E-03  -0.494290E-06   0.115158E-06
    87   0.222935E+04  -0.142520E+02   0.438972E-03  -0.142520E+02   0.557636E+00  -0.533859E-06   0.438972E-03  -0.533859E-06   0.114461E-06
    88   0.225656E+04  -0.148456E+02   0.432695E-03  -0.148456E+02   0.572660E+00  -0.588753E-06   0.432695E-03  -0.588753E-06   0.113766E-06
    89   0.228396E+04  -0.154450E+02   0.426546E-03  -0.154450E+02   0.587713E+00  -0.650449E-06   0.426546E-03  -0.650449E-06   0.113074E-06
    90   0.231155E+04  -0.160499E+02   0.420549E-03  -0.160499E+02   0.602778E+00  -0.710427E-06   0.420549E-03  -0.710427E-06   0.112385E-06
    91   0.233934E+04  -0.166598E+02   0.414723E-03  -0.166598E+02   0.617844E+00  -0.761701E-06   0.414723E-03  -0.761701E-06   0.111698E-06
    92   0.236733E+04  -0.172746E+02   0.409066E-03  -0.172746E+02   0.632895E+00  -0.803434E-06   0.409066E-03  -0.803434E-06   0.111015E-06
    93   0.239554E+04  -0.178938E+02   0.403571E-03  -0.178938E+02   0.647918E+00  -0.836325E-06   0.403571E-03  -0.836325E-06   0.110334E-06
    94   0.242395E+04  -0.185172E+02   0.398232E-03  -0.185172E+02   0.662900E+00  -0.861071E-06   0.398232E-03  -0.861071E-06   0.109657E-06
    95   0.245259E+04  -0.191444E+02   0.393042E-03  -0.191444E+02   0.677827E+00  -0.878371E-06   0.393042E-03  -0.878371E-06   0.108982E-06
    96   0.248145E+04  -0.197748E+02   0.387995E-03  -0.197748E+02   0.692685E+00  -0.888924E-06   0.387995E-03  -0.888924E-06   0.108311E-06
    97   0.251052E+04  -0.204081E+02   0.383084E-03  -0.204081E+02   0.707460E+00  -0.893429E-06   0.383084E-03  -0.893429E-06   0.107644E-06
    98   0.253982E+04  -0.210438E+02   0.378303E-03  -0.210438E+02   0.722137E+00  -0.892584E-06   0.378303E-03  -0.892584E-06   0.106979E-06
    99   0.256932E+04  -0.216815E+02   0.373645E-03  -0.216815E+02   0.736703E+00  -0.887088E-06   0.373645E-03  -0.887088E-06   0.106318E-06
   100   0.259904E+04  -0.223207E+02   0.369103E-03  -0.223207E+02   0.751145E+00  -0.877639E-06   0.369103E-03  -0.877639E-06   0.105661E-06
   101   0.262898E+04  -0.229609E+02   0.364670E-03  -0.229609E+02   0.765451E+00  -0.864936E-06   0.364670E-03  -0.864936E-06   0.105007E-06
   102   0.265912E+04  -0.236018E+02   0.360341E-03  -0.236018E+02   0.779598E+00  -0.849678E-06   0.360341E-03  -0.849678E-06   0.104357E-06
   103   0.268946E+04  -0.242426E+02   0.356109E-03  -0.242426E+02   0.793587E+00  -0.832562E-06   0.356109E-03  -0.832562E-06   0.103710E-06
   104   0.272001E+04  -0.248830E+02   0.351966E-03  -0.248830E+02   0.807389E+00  -0.814289E-06   0.351966E-03  -0.814289E-06   0.103067E-06
   105   0.275074E+04  -0.255224E+02   0.347907E-03  -0.255224E+02   0.820997E+00  -0.795556E-06   0.347907E-03  -0.795556E-06   0.102428E-06
   106   0.278166E+04  -0.261602E+02   0.343925E-03  -0.261602E+02   0.834397E+00  -0.777062E-06   0.343925E-03  -0.777062E-06   0.101793E-06
   107   0.281275E+04  -0.267959E+02   0.340013E-03  -0.267959E+02   0.847582E+00  -0.759505E-06   0.340013E-03  -0.759505E-06   0.101162E-06
