#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  1507   0.657952E+03   0.666405E+01   0.149412E-05   0.666405E+01   0.118001E+02   0.765779E-07   0.149412E-05   0.765779E-07   0.261000E-08
  1508   0.654555E+03   0.702917E+01   0.148435E-05   0.702917E+01   0.119091E+02   0.786505E-07   0.148435E-05   0.786505E-07   0.260636E-08
  1509   0.651142E+03   0.738291E+01   0.147456E-05   0.738291E+01   0.120197E+02   0.807054E-07   0.147456E-05   0.807054E-07   0.260272E-08
  1510   0.647714E+03   0.772504E+01   0.146474E-05   0.772504E+01   0.121320E+02   0.827425E-07   0.146474E-05   0.827425E-07   0.259909E-08
  1511   0.644270E+03   0.805564E+01   0.145489E-05   0.805564E+01   0.122459E+02   0.847617E-07   0.145489E-05   0.847617E-07   0.259546E-08
  1512   0.640815E+03   0.837462E+01   0.144503E-05   0.837462E+01   0.123613E+02   0.867629E-07   0.144503E-05   0.867629E-07   0.259185E-08
  1513   0.637347E+03   0.868199E+01   0.143514E-05   0.868199E+01   0.124781E+02   0.887459E-07   0.143514E-05   0.887459E-07   0.258824E-08
  1514   0.633869E+03   0.897758E+01   0.142523E-05   0.897758E+01   0.125963E+02   0.907108E-07   0.142523E-05   0.907108E-07   0.258463E-08
  1515   0.630382E+03   0.926147E+01   0.141530E-05   0.926147E+01   0.127158E+02   0.926573E-07   0.141530E-05   0.926573E-07   0.258103E-08
  1516   0.626885E+03   0.953351E+01   0.140535E-05   0.953351E+01   0.128367E+02   0.945853E-07   0.140535E-05   0.945853E-07   0.257744E-08
  1517   0.623381E+03   0.979368E+01   0.139539E-05   0.979368E+01   0.129587E+02   0.964948E-07   0.139539E-05   0.964948E-07   0.257386E-08
  1518   0.619870E+03   0.100420E+02   0.138540E-05   0.100420E+02   0.130819E+02   0.983857E-07   0.138540E-05   0.983857E-07   0.257028E-08
  1519   0.616354E+03   0.102784E+02   0.137541E-05   0.102784E+02   0.132062E+02   0.100258E-06   0.137541E-05   0.100258E-06   0.256670E-08
  1520   0.612832E+03   0.105029E+02   0.136539E-05   0.105029E+02   0.133315E+02   0.102111E-06   0.136539E-05   0.102111E-06   0.256314E-08
  1521   0.609307E+03   0.107153E+02   0.135537E-05   0.107153E+02   0.134578E+02   0.103945E-06   0.135537E-05   0.103945E-06   0.255958E-08
  1522   0.605778E+03   0.109159E+02   0.134533E-05   0.109159E+02   0.135851E+02   0.105761E-06   0.134533E-05   0.105761E-06   0.255602E-08
  1523   0.602246E+03   0.111043E+02   0.133529E-05   0.111043E+02   0.137131E+02   0.107557E-06   0.133529E-05   0.107557E-06   0.255248E-08
  1524   0.598713E+03   0.112806E+02   0.132523E-05   0.112806E+02   0.138420E+02   0.109334E-06   0.132523E-05   0.109334E-06   0.254894E-08
  1525   0.595179E+03   0.114450E+02   0.131516E-05   0.114450E+02   0.139715E+02   0.111091E-06   0.131516E-05   0.111091E-06   0.254540E-08
  1526   0.591647E+03   0.115972E+02   0.130509E-05   0.115972E+02   0.141017E+02   0.112829E-06   0.130509E-05   0.112829E-06   0.254187E-08
  1527   0.588115E+03   0.117375E+02   0.129501E-05   0.117375E+02   0.142326E+02   0.114548E-06   0.129501E-05   0.114548E-06   0.253835E-08
  1528   0.584585E+03   0.118658E+02   0.128493E-05   0.118658E+02   0.143639E+02   0.116246E-06   0.128493E-05   0.116246E-06   0.253484E-08
  1529   0.581060E+03   0.119821E+02   0.127484E-05   0.119821E+02   0.144958E+02   0.117925E-06   0.127484E-05   0.117925E-06   0.253133E-08
  1530   0.577537E+03   0.120864E+02   0.126475E-05   0.120864E+02   0.146281E+02   0.119584E-06   0.126475E-05   0.119584E-06   0.252782E-08
  1531   0.574020E+03   0.121786E+02   0.125466E-05   0.121786E+02   0.147607E+02   0.121223E-06   0.125466E-05   0.121223E-06   0.252433E-08
  1532   0.570509E+03   0.122590E+02   0.124456E-05   0.122590E+02   0.148937E+02   0.122842E-06   0.124456E-05   0.122842E-06   0.252083E-08
  1533   0.567004E+03   0.123274E+02   0.123447E-05   0.123274E+02   0.150268E+02   0.124441E-06   0.123447E-05   0.124441E-06   0.251735E-08
  1534   0.563507E+03   0.123840E+02   0.122438E-05   0.123840E+02   0.151601E+02   0.126020E-06   0.122438E-05   0.126020E-06   0.251387E-08
  1535   0.560017E+03   0.124286E+02   0.121429E-05   0.124286E+02   0.152935E+02   0.127578E-06   0.121429E-05   0.127578E-06   0.251040E-08
  1536   0.556537E+03   0.124615E+02   0.120421E-05   0.124615E+02   0.154270E+02   0.129115E-06   0.120421E-05   0.129115E-06   0.250693E-08
  1537   0.553065E+03   0.124825E+02   0.119413E-05   0.124825E+02   0.155603E+02   0.130632E-06   0.119413E-05   0.130632E-06   0.250347E-08
  1538   0.549605E+03   0.124918E+02   0.118405E-05   0.124918E+02   0.156937E+02   0.132128E-06   0.118405E-05   0.132128E-06   0.250002E-08
  1539   0.546157E+03   0.124894E+02   0.117399E-05   0.124894E+02   0.158268E+02   0.133604E-06   0.117399E-05   0.133604E-06   0.249657E-08
  1540   0.542721E+03   0.124755E+02   0.116393E-05   0.124755E+02   0.159598E+02   0.135058E-06   0.116393E-05   0.135058E-06   0.249313E-08
  1541   0.539297E+03   0.124500E+02   0.115388E-05   0.124500E+02   0.160925E+02   0.136492E-06   0.115388E-05   0.136492E-06   0.248969E-08
  1542   0.535889E+03   0.124132E+02   0.114385E-05   0.124132E+02   0.162249E+02   0.137904E-06   0.114385E-05   0.137904E-06   0.248626E-08
  1543   0.532495E+03   0.123650E+02   0.113382E-05   0.123650E+02   0.163569E+02   0.139295E-06   0.113382E-05   0.139295E-06   0.248284E-08
  1544   0.529117E+03   0.123055E+02   0.112381E-05   0.123055E+02   0.164885E+02   0.140665E-06   0.112381E-05   0.140665E-06   0.247942E-08
  1545   0.525755E+03   0.122348E+02   0.111381E-05   0.122348E+02   0.166196E+02   0.142013E-06   0.111381E-05   0.142013E-06   0.247601E-08
  1546   0.522411E+03   0.121531E+02   0.110383E-05   0.121531E+02   0.167500E+02   0.143340E-06   0.110383E-05   0.143340E-06   0.247261E-08
  1547   0.519086E+03   0.120604E+02   0.109386E-05   0.120604E+02   0.168799E+02   0.144645E-06   0.109386E-05   0.144645E-06   0.246921E-08
  1548   0.515778E+03   0.119567E+02   0.108391E-05   0.119567E+02   0.170092E+02   0.145929E-06   0.108391E-05   0.145929E-06   0.246581E-08
  1549   0.512491E+03   0.118423E+02   0.107398E-05   0.118423E+02   0.171376E+02   0.147190E-06   0.107398E-05   0.147190E-06   0.246243E-08
  1550   0.509223E+03   0.117171E+02   0.106407E-05   0.117171E+02   0.172653E+02   0.148430E-06   0.106407E-05   0.148430E-06   0.245904E-08
  1551   0.505976E+03   0.115813E+02   0.105418E-05   0.115813E+02   0.173921E+02   0.149647E-06   0.105418E-05   0.149647E-06   0.245567E-08
  1552   0.502750E+03   0.114349E+02   0.104431E-05   0.114349E+02   0.175180E+02   0.150843E-06   0.104431E-05   0.150843E-06   0.245230E-08
  1553   0.499547E+03   0.112783E+02   0.103447E-05   0.112783E+02   0.176429E+02   0.152016E-06   0.103447E-05   0.152016E-06   0.244893E-08
  1554   0.496366E+03   0.111113E+02   0.102464E-05   0.111113E+02   0.177669E+02   0.153168E-06   0.102464E-05   0.153168E-06   0.244558E-08
  1555   0.493209E+03   0.109342E+02   0.101484E-05   0.109342E+02   0.178897E+02   0.154297E-06   0.101484E-05   0.154297E-06   0.244222E-08
  1556   0.490076E+03   0.107470E+02   0.100506E-05   0.107470E+02   0.180114E+02   0.155405E-06   0.100506E-05   0.155405E-06   0.243888E-08
  1557   0.486969E+03   0.105500E+02   0.995307E-06   0.105500E+02   0.181320E+02   0.156491E-06   0.995307E-06   0.156491E-06   0.243554E-08
  1558   0.483887E+03   0.103433E+02   0.985575E-06   0.103433E+02   0.182512E+02   0.157556E-06   0.985575E-06   0.157556E-06   0.243220E-08
  1559   0.480831E+03   0.101269E+02   0.975867E-06   0.101269E+02   0.183693E+02   0.158598E-06   0.975867E-06   0.158598E-06   0.242887E-08
  1560   0.477802E+03   0.990099E+01   0.966184E-06   0.990099E+01   0.184859E+02   0.159619E-06   0.966184E-06   0.159619E-06   0.242555E-08
  1561   0.474801E+03   0.966585E+01   0.956526E-06   0.966585E+01   0.186012E+02   0.160619E-06   0.956526E-06   0.160619E-06   0.242223E-08
  1562   0.471828E+03   0.942148E+01   0.946894E-06   0.942148E+01   0.187151E+02   0.161597E-06   0.946894E-06   0.161597E-06   0.241892E-08
  1563   0.468883E+03   0.916810E+01   0.937287E-06   0.916810E+01   0.188275E+02   0.162553E-06   0.937287E-06   0.162553E-06   0.241562E-08
  1564   0.465968E+03   0.890584E+01   0.927707E-06   0.890584E+01   0.189384E+02   0.163488E-06   0.927707E-06   0.163488E-06   0.241232E-08
  1565   0.463083E+03   0.863492E+01   0.918153E-06   0.863492E+01   0.190477E+02   0.164402E-06   0.918153E-06   0.164402E-06   0.240902E-08
  1566   0.460228E+03   0.835540E+01   0.908627E-06   0.835540E+01   0.191553E+02   0.165294E-06   0.908627E-06   0.165294E-06   0.240574E-08
  1567   0.457404E+03   0.806750E+01   0.899128E-06   0.806750E+01   0.192613E+02   0.166165E-06   0.899128E-06   0.166165E-06   0.240245E-08
  1568   0.454612E+03   0.777127E+01   0.889657E-06   0.777127E+01   0.193656E+02   0.167014E-06   0.889657E-06   0.167014E-06   0.239918E-08
  1569   0.451851E+03   0.746700E+01   0.880214E-06   0.746700E+01   0.194681E+02   0.167843E-06   0.880214E-06   0.167843E-06   0.239591E-08
  1570   0.449123E+03   0.715484E+01   0.870800E-06   0.715484E+01   0.195689E+02   0.168650E-06   0.870800E-06   0.168650E-06   0.239264E-08
  1571   0.446428E+03   0.683488E+01   0.861415E-06   0.683488E+01   0.196676E+02   0.169436E-06   0.861415E-06   0.169436E-06   0.238938E-08
  1572   0.443766E+03   0.650730E+01   0.852060E-06   0.650730E+01   0.197646E+02   0.170201E-06   0.852060E-06   0.170201E-06   0.238613E-08
  1573   0.441138E+03   0.617229E+01   0.842735E-06   0.617229E+01   0.198596E+02   0.170945E-06   0.842735E-06   0.170945E-06   0.238288E-08
  1574   0.438544E+03   0.583007E+01   0.833440E-06   0.583007E+01   0.199526E+02   0.171668E-06   0.833440E-06   0.171668E-06   0.237964E-08
  1575   0.435985E+03   0.548081E+01   0.824177E-06   0.548081E+01   0.200436E+02   0.172370E-06   0.824177E-06   0.172370E-06   0.237640E-08
  1576   0.433460E+03   0.512473E+01   0.814944E-06   0.512473E+01   0.201326E+02   0.173051E-06   0.814944E-06   0.173051E-06   0.237317E-08
  1577   0.430972E+03   0.476200E+01   0.805743E-06   0.476200E+01   0.202195E+02   0.173711E-06   0.805743E-06   0.173711E-06   0.236995E-08
  1578   0.428519E+03   0.439284E+01   0.796574E-06   0.439284E+01   0.203044E+02   0.174351E-06   0.796574E-06   0.174351E-06   0.236673E-08
  1579   0.426103E+03   0.401743E+01   0.787438E-06   0.401743E+01   0.203871E+02   0.174970E-06   0.787438E-06   0.174970E-06   0.236351E-08
  1580   0.423724E+03   0.363596E+01   0.778335E-06   0.363596E+01   0.204676E+02   0.175568E-06   0.778335E-06   0.175568E-06   0.236030E-08
  1581   0.421382E+03   0.324861E+01   0.769265E-06   0.324861E+01   0.205459E+02   0.176145E-06   0.769265E-06   0.176145E-06   0.235710E-08
  1582   0.419077E+03   0.285556E+01   0.760228E-06   0.285556E+01   0.206221E+02   0.176702E-06   0.760228E-06   0.176702E-06   0.235390E-08
  1583   0.416810E+03   0.245699E+01   0.751226E-06   0.245699E+01   0.206959E+02   0.177239E-06   0.751226E-06   0.177239E-06   0.235071E-08
  1584   0.414580E+03   0.205309E+01   0.742259E-06   0.205309E+01   0.207675E+02   0.177754E-06   0.742259E-06   0.177754E-06   0.234752E-08
  1585   0.412388E+03   0.164404E+01   0.733326E-06   0.164404E+01   0.208367E+02   0.178250E-06   0.733326E-06   0.178250E-06   0.234434E-08
  1586   0.410235E+03   0.123001E+01   0.724429E-06   0.123001E+01   0.209035E+02   0.178725E-06   0.724429E-06   0.178725E-06   0.234117E-08
  1587   0.408120E+03   0.811216E+00   0.715568E-06   0.811216E+00   0.209680E+02   0.179179E-06   0.715568E-06   0.179179E-06   0.233800E-08
  1588   0.406043E+03   0.387845E+00   0.706743E-06   0.387845E+00   0.210300E+02   0.179613E-06   0.706743E-06   0.179613E-06   0.233483E-08
  1589   0.404005E+03  -0.399076E-01   0.697954E-06  -0.399076E-01   0.210896E+02   0.180027E-06   0.697954E-06   0.180027E-06   0.233167E-08
  1590   0.402006E+03  -0.471842E+00   0.689203E-06  -0.471842E+00   0.211467E+02   0.180421E-06   0.689203E-06   0.180421E-06   0.232852E-08
  1591   0.400046E+03  -0.907764E+00   0.680489E-06  -0.907764E+00   0.212014E+02   0.180795E-06   0.680489E-06   0.180795E-06   0.232537E-08
  1592   0.398126E+03  -0.134746E+01   0.671813E-06  -0.134746E+01   0.212535E+02   0.181148E-06   0.671813E-06   0.181148E-06   0.232223E-08
  1593   0.396244E+03  -0.179076E+01   0.663176E-06  -0.179076E+01   0.213031E+02   0.181482E-06   0.663176E-06   0.181482E-06   0.231909E-08
  1594   0.394403E+03  -0.223744E+01   0.654577E-06  -0.223744E+01   0.213501E+02   0.181795E-06   0.654577E-06   0.181795E-06   0.231596E-08
  1595   0.392601E+03  -0.268731E+01   0.646017E-06  -0.268731E+01   0.213946E+02   0.182088E-06   0.646017E-06   0.182088E-06   0.231284E-08
  1596   0.390837E+03  -0.314016E+01   0.637497E-06  -0.314016E+01   0.214365E+02   0.182362E-06   0.637497E-06   0.182362E-06   0.230972E-08
  1597   0.389115E+03  -0.359580E+01   0.629017E-06  -0.359580E+01   0.214757E+02   0.182615E-06   0.629017E-06   0.182615E-06   0.230660E-08
  1598   0.387431E+03  -0.405401E+01   0.620577E-06  -0.405401E+01   0.215124E+02   0.182849E-06   0.620577E-06   0.182849E-06   0.230349E-08
  1599   0.385787E+03  -0.451460E+01   0.612178E-06  -0.451460E+01   0.215465E+02   0.183063E-06   0.612178E-06   0.183063E-06   0.230039E-08
  1600   0.384184E+03  -0.497736E+01   0.603820E-06  -0.497736E+01   0.215778E+02   0.183257E-06   0.603820E-06   0.183257E-06   0.229729E-08
  1601   0.382619E+03  -0.544211E+01   0.595504E-06  -0.544211E+01   0.216066E+02   0.183431E-06   0.595504E-06   0.183431E-06   0.229419E-08
  1602   0.381095E+03  -0.590865E+01   0.587231E-06  -0.590865E+01   0.216327E+02   0.183586E-06   0.587231E-06   0.183586E-06   0.229110E-08
  1603   0.379610E+03  -0.637677E+01   0.579003E-06  -0.637677E+01   0.216560E+02   0.183721E-06   0.579003E-06   0.183721E-06   0.228802E-08
  1604   0.378164E+03  -0.684630E+01   0.570821E-06  -0.684630E+01   0.216767E+02   0.183837E-06   0.570821E-06   0.183837E-06   0.228494E-08
  1605   0.376758E+03  -0.731706E+01   0.562687E-06  -0.731706E+01   0.216946E+02   0.183933E-06   0.562687E-06   0.183933E-06   0.228187E-08
  1606   0.375392E+03  -0.778880E+01   0.554602E-06  -0.778880E+01   0.217098E+02   0.184011E-06   0.554602E-06   0.184011E-06   0.227880E-08
  1607   0.374065E+03  -0.826131E+01   0.546568E-06  -0.826131E+01   0.217223E+02   0.184069E-06   0.546568E-06   0.184069E-06   0.227574E-08
  1608   0.372777E+03  -0.873450E+01   0.538586E-06  -0.873450E+01   0.217320E+02   0.184108E-06   0.538586E-06   0.184108E-06   0.227268E-08
  1609   0.371528E+03  -0.920800E+01   0.530658E-06  -0.920800E+01   0.217389E+02   0.184128E-06   0.530658E-06   0.184128E-06   0.226963E-08
  1610   0.370318E+03  -0.968177E+01   0.522785E-06  -0.968177E+01   0.217431E+02   0.184130E-06   0.522785E-06   0.184130E-06   0.226659E-08
  1611   0.369148E+03  -0.101554E+02   0.514970E-06  -0.101554E+02   0.217447E+02   0.184113E-06   0.514970E-06   0.184113E-06   0.226355E-08
  1612   0.368016E+03  -0.106289E+02   0.507212E-06  -0.106289E+02   0.217435E+02   0.184077E-06   0.507212E-06   0.184077E-06   0.226051E-08
  1613   0.366923E+03  -0.111019E+02   0.499515E-06  -0.111019E+02   0.217396E+02   0.184022E-06   0.499515E-06   0.184022E-06   0.225748E-08
  1614   0.365868E+03  -0.115742E+02   0.491879E-06  -0.115742E+02   0.217331E+02   0.183949E-06   0.491879E-06   0.183949E-06   0.225445E-08
  1615   0.364852E+03  -0.120457E+02   0.484307E-06  -0.120457E+02   0.217239E+02   0.183858E-06   0.484307E-06   0.183858E-06   0.225143E-08
  1616   0.363875E+03  -0.125162E+02   0.476798E-06  -0.125162E+02   0.217120E+02   0.183748E-06   0.476798E-06   0.183748E-06   0.224842E-08
  1617   0.362935E+03  -0.129854E+02   0.469356E-06  -0.129854E+02   0.216974E+02   0.183621E-06   0.469356E-06   0.183621E-06   0.224541E-08
  1618   0.362033E+03  -0.134533E+02   0.461982E-06  -0.134533E+02   0.216802E+02   0.183475E-06   0.461982E-06   0.183475E-06   0.224240E-08
  1619   0.361168E+03  -0.139196E+02   0.454676E-06  -0.139196E+02   0.216602E+02   0.183311E-06   0.454676E-06   0.183311E-06   0.223941E-08
  1620   0.360340E+03  -0.143840E+02   0.447442E-06  -0.143840E+02   0.216377E+02   0.183130E-06   0.447442E-06   0.183130E-06   0.223641E-08
  1621   0.359550E+03  -0.148467E+02   0.440279E-06  -0.148467E+02   0.216123E+02   0.182931E-06   0.440279E-06   0.182931E-06   0.223342E-08
  1622   0.358796E+03  -0.153071E+02   0.433190E-06  -0.153071E+02   0.215844E+02   0.182714E-06   0.433190E-06   0.182714E-06   0.223044E-08
  1623   0.358078E+03  -0.157652E+02   0.426177E-06  -0.157652E+02   0.215539E+02   0.182479E-06   0.426177E-06   0.182479E-06   0.222746E-08
  1624   0.357396E+03  -0.162209E+02   0.419240E-06  -0.162209E+02   0.215207E+02   0.182227E-06   0.419240E-06   0.182227E-06   0.222449E-08
  1625   0.356750E+03  -0.166738E+02   0.412381E-06  -0.166738E+02   0.214849E+02   0.181958E-06   0.412381E-06   0.181958E-06   0.222152E-08
  1626   0.356139E+03  -0.171240E+02   0.405603E-06  -0.171240E+02   0.214466E+02   0.181671E-06   0.405603E-06   0.181671E-06   0.221855E-08
  1627   0.355563E+03  -0.175711E+02   0.398905E-06  -0.175711E+02   0.214056E+02   0.181368E-06   0.398905E-06   0.181368E-06   0.221559E-08
  1628   0.355022E+03  -0.180149E+02   0.392291E-06  -0.180149E+02   0.213621E+02   0.181047E-06   0.392291E-06   0.181047E-06   0.221264E-08
  1629   0.354516E+03  -0.184555E+02   0.385761E-06  -0.184555E+02   0.213162E+02   0.180709E-06   0.385761E-06   0.180709E-06   0.220969E-08
  1630   0.354043E+03  -0.188924E+02   0.379316E-06  -0.188924E+02   0.212676E+02   0.180354E-06   0.379316E-06   0.180354E-06   0.220675E-08
  1631   0.353604E+03  -0.193257E+02   0.372960E-06  -0.193257E+02   0.212166E+02   0.179983E-06   0.372960E-06   0.179983E-06   0.220381E-08
  1632   0.353198E+03  -0.197550E+02   0.366692E-06  -0.197550E+02   0.211630E+02   0.179594E-06   0.366692E-06   0.179594E-06   0.220088E-08
  1633   0.352824E+03  -0.201804E+02   0.360515E-06  -0.201804E+02   0.211070E+02   0.179190E-06   0.360515E-06   0.179190E-06   0.219795E-08
  1634   0.352483E+03  -0.206016E+02   0.354430E-06  -0.206016E+02   0.210486E+02   0.178768E-06   0.354430E-06   0.178768E-06   0.219503E-08
  1635   0.352174E+03  -0.210186E+02   0.348438E-06  -0.210186E+02   0.209876E+02   0.178331E-06   0.348438E-06   0.178331E-06   0.219211E-08
  1636   0.351896E+03  -0.214309E+02   0.342542E-06  -0.214309E+02   0.209243E+02   0.177877E-06   0.342542E-06   0.177877E-06   0.218920E-08
  1637   0.351649E+03  -0.218388E+02   0.336742E-06  -0.218388E+02   0.208586E+02   0.177407E-06   0.336742E-06   0.177407E-06   0.218629E-08
  1638   0.351432E+03  -0.222417E+02   0.331040E-06  -0.222417E+02   0.207905E+02   0.176920E-06   0.331040E-06   0.176920E-06   0.218338E-08
  1639   0.351246E+03  -0.226398E+02   0.325438E-06  -0.226398E+02   0.207201E+02   0.176418E-06   0.325438E-06   0.176418E-06   0.218049E-08
  1640   0.351089E+03  -0.230329E+02   0.319937E-06  -0.230329E+02   0.206474E+02   0.175900E-06   0.319937E-06   0.175900E-06   0.217759E-08
  1641   0.350961E+03  -0.234207E+02   0.314539E-06  -0.234207E+02   0.205725E+02   0.175366E-06   0.314539E-06   0.175366E-06   0.217470E-08
  1642   0.350862E+03  -0.238032E+02   0.309246E-06  -0.238032E+02   0.204954E+02   0.174816E-06   0.309246E-06   0.174816E-06   0.217182E-08
  1643   0.350790E+03  -0.241802E+02   0.304058E-06  -0.241802E+02   0.204160E+02   0.174251E-06   0.304058E-06   0.174251E-06   0.216894E-08
  1644   0.350747E+03  -0.245517E+02   0.298977E-06  -0.245517E+02   0.203346E+02   0.173670E-06   0.298977E-06   0.173670E-06   0.216607E-08
  1645   0.350731E+03  -0.249174E+02   0.294005E-06  -0.249174E+02   0.202510E+02   0.173074E-06   0.294005E-06   0.173074E-06   0.216320E-08
  1646   0.350741E+03  -0.252773E+02   0.289144E-06  -0.252773E+02   0.201653E+02   0.172462E-06   0.289144E-06   0.172462E-06   0.216033E-08
  1647   0.350777E+03  -0.256312E+02   0.284394E-06  -0.256312E+02   0.200776E+02   0.171835E-06   0.284394E-06   0.171835E-06   0.215748E-08
  1648   0.350838E+03  -0.259791E+02   0.279758E-06  -0.259791E+02   0.199877E+02   0.171193E-06   0.279758E-06   0.171193E-06   0.215462E-08
  1649   0.350925E+03  -0.263207E+02   0.275237E-06  -0.263207E+02   0.198959E+02   0.170537E-06   0.275237E-06   0.170537E-06   0.215177E-08
  1650   0.351035E+03  -0.266561E+02   0.270832E-06  -0.266561E+02   0.198020E+02   0.169865E-06   0.270832E-06   0.169865E-06   0.214893E-08
  1651   0.351170E+03  -0.269850E+02   0.266545E-06  -0.269850E+02   0.197062E+02   0.169178E-06   0.266545E-06   0.169178E-06   0.214609E-08
  1652   0.351328E+03  -0.273074E+02   0.262374E-06  -0.273074E+02   0.196085E+02   0.168476E-06   0.262374E-06   0.168476E-06   0.214325E-08
  1653   0.351508E+03  -0.276233E+02   0.258317E-06  -0.276233E+02   0.195090E+02   0.167761E-06   0.258317E-06   0.167761E-06   0.214042E-08
  1654   0.351711E+03  -0.279323E+02   0.254371E-06  -0.279323E+02   0.194075E+02   0.167030E-06   0.254371E-06   0.167030E-06   0.213760E-08
  1655   0.351935E+03  -0.282346E+02   0.250536E-06  -0.282346E+02   0.193043E+02   0.166286E-06   0.250536E-06   0.166286E-06   0.213478E-08
  1656   0.352179E+03  -0.285301E+02   0.246808E-06  -0.285301E+02   0.191994E+02   0.165527E-06   0.246808E-06   0.165527E-06   0.213196E-08
  1657   0.352444E+03  -0.288184E+02   0.243186E-06  -0.288184E+02   0.190927E+02   0.164754E-06   0.243186E-06   0.164754E-06   0.212915E-08
  1658   0.352729E+03  -0.290997E+02   0.239667E-06  -0.290997E+02   0.189843E+02   0.163968E-06   0.239667E-06   0.163968E-06   0.212635E-08
  1659   0.353034E+03  -0.293738E+02   0.236250E-06  -0.293738E+02   0.188743E+02   0.163168E-06   0.236250E-06   0.163168E-06   0.212354E-08
  1660   0.353356E+03  -0.296407E+02   0.232933E-06  -0.296407E+02   0.187628E+02   0.162355E-06   0.232933E-06   0.162355E-06   0.212075E-08
  1661   0.353697E+03  -0.299003E+02   0.229713E-06  -0.299003E+02   0.186497E+02   0.161528E-06   0.229713E-06   0.161528E-06   0.211796E-08
  1662   0.354055E+03  -0.301524E+02   0.226589E-06  -0.301524E+02   0.185350E+02   0.160688E-06   0.226589E-06   0.160688E-06   0.211517E-08
  1663   0.354430E+03  -0.303971E+02   0.223558E-06  -0.303971E+02   0.184189E+02   0.159835E-06   0.223558E-06   0.159835E-06   0.211239E-08
  1664   0.354821E+03  -0.306343E+02   0.220619E-06  -0.306343E+02   0.183015E+02   0.158969E-06   0.220619E-06   0.158969E-06   0.210961E-08
  1665   0.355227E+03  -0.308638E+02   0.217769E-06  -0.308638E+02   0.181826E+02   0.158090E-06   0.217769E-06   0.158090E-06   0.210684E-08
  1666   0.355649E+03  -0.310857E+02   0.215006E-06  -0.310857E+02   0.180623E+02   0.157199E-06   0.215006E-06   0.157199E-06   0.210407E-08
  1667   0.356084E+03  -0.312999E+02   0.212328E-06  -0.312999E+02   0.179408E+02   0.156296E-06   0.212328E-06   0.156296E-06   0.210130E-08
  1668   0.356534E+03  -0.315062E+02   0.209734E-06  -0.315062E+02   0.178180E+02   0.155380E-06   0.209734E-06   0.155380E-06   0.209854E-08
  1669   0.356996E+03  -0.317047E+02   0.207221E-06  -0.317047E+02   0.176939E+02   0.154452E-06   0.207221E-06   0.154452E-06   0.209579E-08
  1670   0.357471E+03  -0.318953E+02   0.204787E-06  -0.318953E+02   0.175688E+02   0.153512E-06   0.204787E-06   0.153512E-06   0.209304E-08
  1671   0.357958E+03  -0.320779E+02   0.202430E-06  -0.320779E+02   0.174424E+02   0.152560E-06   0.202430E-06   0.152560E-06   0.209030E-08
  1672   0.358456E+03  -0.322525E+02   0.200148E-06  -0.322525E+02   0.173150E+02   0.151597E-06   0.200148E-06   0.151597E-06   0.208756E-08
  1673   0.358964E+03  -0.324192E+02   0.197938E-06  -0.324192E+02   0.171865E+02   0.150622E-06   0.197938E-06   0.150622E-06   0.208482E-08
  1674   0.359482E+03  -0.325779E+02   0.195800E-06  -0.325779E+02   0.170571E+02   0.149636E-06   0.195800E-06   0.149636E-06   0.208209E-08
  1675   0.360010E+03  -0.327285E+02   0.193731E-06  -0.327285E+02   0.169267E+02   0.148638E-06   0.193731E-06   0.148638E-06   0.207936E-08
  1676   0.360546E+03  -0.328711E+02   0.191728E-06  -0.328711E+02   0.167955E+02   0.147630E-06   0.191728E-06   0.147630E-06   0.207664E-08
  1677   0.361091E+03  -0.330056E+02   0.189790E-06  -0.330056E+02   0.166636E+02   0.146610E-06   0.189790E-06   0.146610E-06   0.207392E-08
  1678   0.361644E+03  -0.331320E+02   0.187915E-06  -0.331320E+02   0.165308E+02   0.145580E-06   0.187915E-06   0.145580E-06   0.207121E-08
  1679   0.362203E+03  -0.332503E+02   0.186101E-06  -0.332503E+02   0.163974E+02   0.144539E-06   0.186101E-06   0.144539E-06   0.206850E-08
  1680   0.362769E+03  -0.333605E+02   0.184345E-06  -0.333605E+02   0.162633E+02   0.143488E-06   0.184345E-06   0.143488E-06   0.206580E-08
  1681   0.363341E+03  -0.334625E+02   0.182646E-06  -0.334625E+02   0.161285E+02   0.142426E-06   0.182646E-06   0.142426E-06   0.206310E-08
  1682   0.363917E+03  -0.335565E+02   0.181001E-06  -0.335565E+02   0.159932E+02   0.141354E-06   0.181001E-06   0.141354E-06   0.206041E-08
  1683   0.364498E+03  -0.336422E+02   0.179409E-06  -0.336422E+02   0.158573E+02   0.140273E-06   0.179409E-06   0.140273E-06   0.205772E-08
  1684   0.365083E+03  -0.337198E+02   0.177867E-06  -0.337198E+02   0.157209E+02   0.139181E-06   0.177867E-06   0.139181E-06   0.205503E-08
  1685   0.365672E+03  -0.337892E+02   0.176373E-06  -0.337892E+02   0.155840E+02   0.138080E-06   0.176373E-06   0.138080E-06   0.205235E-08
  1686   0.366263E+03  -0.338504E+02   0.174926E-06  -0.338504E+02   0.154468E+02   0.136969E-06   0.174926E-06   0.136969E-06   0.204967E-08
  1687   0.366856E+03  -0.339036E+02   0.173523E-06  -0.339036E+02   0.153091E+02   0.135849E-06   0.173523E-06   0.135849E-06   0.204700E-08
