#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.217538E-01   0.675445E+07   0.672133E+07   0.178473E+04   0.155606E+04   0.000000E+00   0.674934E+07   0.674934E+07   0.674934E+07  -0.322151E+00   0.592352E+07   0.592215E+07   0.189740E+02
   0.240210E-01   0.632185E+07   0.628503E+07   0.115710E+04   0.119427E+04   0.000000E+00   0.631617E+07   0.631617E+07   0.631617E+07  -0.301476E+00   0.554337E+07   0.554198E+07   0.173491E+02
   0.265246E-01   0.587655E+07   0.583626E+07   0.925567E+03   0.910320E+03   0.000000E+00   0.587033E+07   0.587033E+07   0.587033E+07  -0.280195E+00   0.515210E+07   0.515070E+07   0.157661E+02
   0.292891E-01   0.542492E+07   0.538172E+07   0.729881E+03   0.689084E+03   0.000000E+00   0.541825E+07   0.541825E+07   0.541825E+07  -0.258617E+00   0.475534E+07   0.475395E+07   0.141884E+02
   0.323417E-01   0.497553E+07   0.493036E+07   0.538448E+03   0.518234E+03   0.000000E+00   0.496856E+07   0.496856E+07   0.496856E+07  -0.237153E+00   0.436068E+07   0.435933E+07   0.125808E+02
   0.357124E-01   0.453900E+07   0.449323E+07   0.433000E+03   0.387670E+03   0.000000E+00   0.453194E+07   0.453194E+07   0.453194E+07  -0.216313E+00   0.397749E+07   0.397619E+07   0.109248E+02
   0.394345E-01   0.412715E+07   0.408256E+07   0.309599E+03   0.289060E+03   0.000000E+00   0.412026E+07   0.412026E+07   0.412027E+07  -0.196663E+00   0.361619E+07   0.361497E+07   0.922424E+01
   0.435445E-01   0.375132E+07   0.370994E+07   0.219766E+03   0.215474E+03   0.000000E+00   0.374493E+07   0.374493E+07   0.374493E+07  -0.178748E+00   0.328677E+07   0.328568E+07   0.751256E+01
   0.478990E-01   0.343065E+07   0.339423E+07   0.167037E+03   0.162867E+03   0.000000E+00   0.342503E+07   0.342503E+07   0.342503E+07  -0.163479E+00   0.300599E+07   0.300505E+07   0.591841E+01
   0.522534E-01   0.317734E+07   0.314668E+07   0.130015E+03   0.126769E+03   0.000000E+00   0.317261E+07   0.317261E+07   0.317261E+07  -0.151431E+00   0.278445E+07   0.278365E+07   0.458201E+01
   0.566079E-01   0.297068E+07   0.294573E+07   0.103598E+03   0.101012E+03   0.000000E+00   0.296683E+07   0.296683E+07   0.296683E+07  -0.141609E+00   0.260383E+07   0.260317E+07   0.351823E+01
   0.609623E-01   0.279609E+07   0.277611E+07   0.840944E+02   0.819948E+02   0.000000E+00   0.279301E+07   0.279301E+07   0.279301E+07  -0.133312E+00   0.245126E+07   0.245071E+07   0.272420E+01
   0.653168E-01   0.263973E+07   0.262352E+07   0.691705E+02   0.674435E+02   0.000000E+00   0.263723E+07   0.263723E+07   0.263723E+07  -0.125877E+00   0.231454E+07   0.231407E+07   0.217507E+01
   0.696712E-01   0.249173E+07   0.247787E+07   0.573911E+02   0.559583E+02   0.000000E+00   0.248959E+07   0.248959E+07   0.248959E+07  -0.118830E+00   0.218496E+07   0.218453E+07   0.183045E+01
   0.740257E-01   0.234624E+07   0.233336E+07   0.478699E+02   0.466748E+02   0.000000E+00   0.234425E+07   0.234425E+07   0.234425E+07  -0.111893E+00   0.205741E+07   0.205700E+07   0.164054E+01
   0.783801E-01   0.220166E+07   0.218865E+07   0.400648E+02   0.390645E+02   0.000000E+00   0.219965E+07   0.219965E+07   0.219965E+07  -0.104991E+00   0.193050E+07   0.193010E+07   0.155311E+01
   0.827346E-01   0.205958E+07   0.204572E+07   0.336334E+02   0.327936E+02   0.000000E+00   0.205744E+07   0.205744E+07   0.205744E+07  -0.982031E-01   0.180570E+07   0.180528E+07   0.151973E+01
   0.870890E-01   0.192324E+07   0.190824E+07   0.283397E+02   0.276322E+02   0.000000E+00   0.192092E+07   0.192092E+07   0.192092E+07  -0.916872E-01   0.168590E+07   0.168546E+07   0.150063E+01
   0.914435E-01   0.179609E+07   0.178008E+07   0.240011E+02   0.234019E+02   0.000000E+00   0.179362E+07   0.179362E+07   0.179362E+07  -0.856106E-01   0.157417E+07   0.157372E+07   0.146773E+01
   0.968429E-01   0.165584E+07   0.163922E+07   0.197247E+02   0.192323E+02   0.000000E+00   0.165327E+07   0.165327E+07   0.165327E+07  -0.789120E-01   0.145100E+07   0.145056E+07   0.138565E+01
   0.102242E+00   0.153884E+07   0.152256E+07   0.164445E+02   0.160340E+02   0.000000E+00   0.153633E+07   0.153633E+07   0.153633E+07  -0.733299E-01   0.134837E+07   0.134794E+07   0.125411E+01
   0.107642E+00   0.144573E+07   0.143073E+07   0.139390E+02   0.135910E+02   0.000000E+00   0.144341E+07   0.144341E+07   0.144341E+07  -0.688952E-01   0.126682E+07   0.126643E+07   0.108731E+01
   0.113041E+00   0.137257E+07   0.135949E+07   0.120013E+02   0.117017E+02   0.000000E+00   0.137055E+07   0.137055E+07   0.137055E+07  -0.654173E-01   0.120286E+07   0.120252E+07   0.909137E+00
   0.118441E+00   0.131266E+07   0.130170E+07   0.104569E+02   0.101959E+02   0.000000E+00   0.131097E+07   0.131097E+07   0.131097E+07  -0.625736E-01   0.115057E+07   0.115028E+07   0.744186E+00
   0.123840E+00   0.125929E+07   0.125023E+07   0.917782E+01   0.894868E+01   0.000000E+00   0.125789E+07   0.125789E+07   0.125789E+07  -0.600402E-01   0.110398E+07   0.110373E+07   0.611073E+00
   0.129239E+00   0.120717E+07   0.119947E+07   0.807925E+01   0.787754E+01   0.000000E+00   0.120598E+07   0.120598E+07   0.120598E+07  -0.575623E-01   0.105842E+07   0.105819E+07   0.518701E+00
   0.134639E+00   0.115298E+07   0.114597E+07   0.711041E+01   0.693289E+01   0.000000E+00   0.115190E+07   0.115190E+07   0.115190E+07  -0.549809E-01   0.101095E+07   0.101074E+07   0.465866E+00
